branch,mode,month,monthly_pnl_gbp,month_end_equity_gbp,month_end_drawdown_amt_gbp,month_end_drawdown_pct,worst_intramonth_dd_amt_gbp,worst_intramonth_dd_pct
p2_filter_test1,full,2021-01,469.84,10469.84,0.0,0.0,-444.72,-1.377
p2_filter_test1,full,2021-02,536.96,11006.8,0.0,0.0,-179.88,-0.54
p2_filter_test1,full,2021-03,-302.62,10704.18,-302.62,-2.749,-544.79,-1.635
p2_filter_test1,full,2021-04,1036.58,11740.76,0.0,0.0,-481.03,-1.444
p2_filter_test1,full,2021-05,834.9,12575.67,0.0,0.0,-171.5,-0.492
p2_filter_test1,full,2021-06,540.73,13116.4,0.0,0.0,-400.24,-1.145
p2_filter_test1,full,2021-07,-295.62,12820.78,-295.62,-2.254,-364.4,-1.033
p2_filter_test1,full,2021-08,80.45,12901.23,-215.17,-1.64,-624.74,-1.77
p2_filter_test1,full,2021-09,1592.06,14493.29,0.0,0.0,-426.03,-1.207
p2_filter_test1,full,2021-10,236.32,14729.61,0.0,0.0,-355.24,-0.956
p2_filter_test1,full,2021-11,52.06,14781.67,0.0,0.0,-420.16,-1.13
p2_filter_test1,full,2021-12,1443.06,16224.73,0.0,0.0,-309.47,-0.833
p2_filter_test1,full,2022-01,898.84,17123.57,0.0,0.0,-311.77,-0.791
p2_filter_test1,full,2022-02,858.22,17981.79,0.0,0.0,-288.39,-0.732
p2_filter_test1,full,2022-03,455.96,18437.75,0.0,0.0,-153.05,-0.377
p2_filter_test1,full,2022-04,328.45,18766.2,0.0,0.0,-173.54,-0.427
p2_filter_test1,full,2022-05,771.12,19537.32,0.0,0.0,-141.96,-0.34
p2_filter_test1,full,2022-06,2568.34,22105.65,0.0,0.0,-228.8,-0.519
p2_filter_test1,full,2022-07,508.76,22614.41,0.0,0.0,-298.32,-0.673
p2_filter_test1,full,2022-08,-39.6,22574.81,-39.6,-0.175,-541.03,-1.205
p2_filter_test1,full,2022-09,1081.5,23656.3,0.0,0.0,-462.75,-1.031
p2_filter_test1,full,2022-10,150.2,23806.5,0.0,0.0,-595.67,-1.289
p2_filter_test1,full,2022-11,587.72,24394.22,0.0,0.0,-504.35,-1.088
p2_filter_test1,full,2022-12,1825.89,26220.11,0.0,0.0,-366.21,-0.752
p2_filter_test1,full,2023-01,2090.33,28310.43,0.0,0.0,-635.48,-1.282
p2_filter_test1,full,2023-02,373.28,28683.71,0.0,0.0,-567.62,-1.105
p2_filter_test1,full,2023-03,1652.78,30336.49,0.0,0.0,-551.22,-1.073
p2_filter_test1,full,2023-04,3518.43,33854.92,0.0,0.0,-556.02,-1.038
p2_filter_test1,full,2023-05,866.89,34721.81,0.0,0.0,-327.01,-0.575
p2_filter_test1,full,2023-06,1926.07,36647.89,0.0,0.0,-290.01,-0.491
p2_filter_test1,full,2023-07,1321.61,37969.5,0.0,0.0,-475.26,-0.801
p2_filter_test1,full,2023-08,1038.63,39008.13,0.0,0.0,-234.52,-0.389
p2_filter_test1,full,2023-09,1618.7,40626.83,0.0,0.0,-426.2,-0.676
p2_filter_test1,full,2023-10,-52.93,40573.9,-52.93,-0.13,-493.44,-0.782
p2_filter_test1,full,2023-11,-332.99,40240.91,-385.92,-0.95,-734.31,-1.164
p2_filter_test1,full,2023-12,569.64,40810.54,0.0,0.0,-1013.05,-1.605
p2_filter_test1,full,2024-01,2253.02,43063.56,0.0,0.0,-500.19,-0.772
p2_filter_test1,full,2024-02,3180.0,46243.56,0.0,0.0,-382.15,-0.573
p2_filter_test1,full,2024-03,483.48,46727.04,0.0,0.0,-608.33,-0.888
p2_filter_test1,full,2024-04,31.51,46758.55,0.0,0.0,-557.72,-0.804
p2_filter_test1,full,2024-05,45.24,46803.8,0.0,0.0,-1276.56,-1.84
p2_filter_test1,full,2024-06,1876.81,48680.61,0.0,0.0,-427.94,-0.617
p2_filter_test1,full,2024-07,1812.06,50492.67,0.0,0.0,-385.35,-0.528
p2_filter_test1,full,2024-08,3995.18,54487.85,0.0,0.0,-630.47,-0.864
p2_filter_test1,full,2024-09,1614.9,56102.75,0.0,0.0,-518.51,-0.674
p2_filter_test1,full,2024-10,2345.5,58448.25,0.0,0.0,-870.02,-1.107
p2_filter_test1,full,2024-11,-2.85,58445.4,-2.85,-0.005,-1302.74,-1.591
p2_filter_test1,full,2024-12,1065.85,59511.25,0.0,0.0,-1596.51,-1.95
p2_filter_test1,full,2025-01,3217.24,62728.49,0.0,0.0,-288.73,-0.345
p2_filter_test1,full,2025-02,2191.04,64919.53,0.0,0.0,-275.0,-0.315
p2_filter_test1,full,2025-03,1567.36,66486.89,0.0,0.0,-616.88,-0.698
p2_filter_test1,full,2025-04,4386.45,70873.34,0.0,0.0,-460.04,-0.514
p2_filter_test1,full,2025-05,2847.02,73720.36,0.0,0.0,-437.35,-0.455
p2_filter_test1,full,2025-06,2298.21,76018.57,0.0,0.0,-760.08,-0.775
p2_filter_test1,full,2025-07,4776.0,80794.57,0.0,0.0,-670.0,-0.671
p2_filter_test1,full,2025-08,1296.48,82091.04,0.0,0.0,-768.74,-0.734
p2_filter_test1,full,2025-09,677.27,82768.32,0.0,0.0,-761.08,-0.727
p2_filter_test1,full,2025-10,2407.72,85176.04,0.0,0.0,-722.53,-0.682
p2_filter_test1,full,2025-11,3528.66,88704.7,0.0,0.0,-293.78,-0.27
p2_filter_test1,full,2025-12,-722.43,87982.27,-722.43,-0.814,-748.97,-0.676
p2_filter_test1,full,2026-01,-625.79,87356.48,-1348.22,-1.52,-1495.31,-1.349
p2_filter_test1,full,2026-02,1036.39,88392.87,-311.83,-0.352,-1607.82,-1.451
p2_filter_test1,full,2026-03,2861.3,91254.17,0.0,0.0,-407.42,-0.368
p2_filter_test2,full,2021-01,1086.53,11086.53,0.0,0.0,-599.92,-1.204
p2_filter_test2,full,2021-02,1129.76,12216.29,0.0,0.0,-369.54,-0.706
p2_filter_test2,full,2021-03,-640.29,11576.0,-640.29,-5.241,-1171.99,-2.239
p2_filter_test2,full,2021-04,2165.9,13741.89,0.0,0.0,-979.4,-1.871
p2_filter_test2,full,2021-05,1622.87,15364.76,0.0,0.0,-412.34,-0.743
p2_filter_test2,full,2021-06,1249.85,16614.61,0.0,0.0,-887.31,-1.588
p2_filter_test2,full,2021-07,-648.14,15966.47,-648.14,-3.901,-816.68,-1.446
p2_filter_test2,full,2021-08,-102.46,15864.01,-750.6,-4.518,-1713.93,-3.034
p2_filter_test2,full,2021-09,4086.25,19950.26,0.0,0.0,-1176.85,-2.083
p2_filter_test2,full,2021-10,349.88,20300.14,0.0,0.0,-867.92,-1.426
p2_filter_test2,full,2021-11,-33.38,20266.76,-33.38,-0.164,-1016.58,-1.67
p2_filter_test2,full,2021-12,2756.66,23023.42,0.0,0.0,-993.42,-1.632
p2_filter_test2,full,2022-01,2151.25,25174.68,0.0,0.0,-742.48,-1.136
p2_filter_test2,full,2022-02,411.38,25586.06,0.0,0.0,-776.09,-1.187
p2_filter_test2,full,2022-03,920.25,26506.31,0.0,0.0,-323.01,-0.487
p2_filter_test2,full,2022-04,1224.38,27730.69,0.0,0.0,-269.07,-0.406
p2_filter_test2,full,2022-05,626.28,28356.97,0.0,0.0,-335.05,-0.492
p2_filter_test2,full,2022-06,5734.59,34091.56,0.0,0.0,-562.52,-0.767
p2_filter_test2,full,2022-07,947.11,35038.67,0.0,0.0,-520.97,-0.704
p2_filter_test2,full,2022-08,29.75,35068.42,0.0,0.0,-1075.42,-1.428
p2_filter_test2,full,2022-09,2318.77,37387.19,0.0,0.0,-1113.36,-1.479
p2_filter_test2,full,2022-10,-75.25,37311.94,-75.25,-0.201,-1231.26,-1.577
p2_filter_test2,full,2022-11,1078.49,38390.44,0.0,0.0,-1114.59,-1.427
p2_filter_test2,full,2022-12,4445.71,42836.15,0.0,0.0,-568.98,-0.687
p2_filter_test2,full,2023-01,5013.36,47849.51,0.0,0.0,-1117.22,-1.306
p2_filter_test2,full,2023-02,1215.84,49065.36,0.0,0.0,-983.26,-1.095
p2_filter_test2,full,2023-03,3000.88,52066.24,0.0,0.0,-1579.86,-1.759
p2_filter_test2,full,2023-04,7180.08,59246.32,0.0,0.0,-959.21,-1.018
p2_filter_test2,full,2023-05,2402.63,61648.96,0.0,0.0,-1095.1,-1.082
p2_filter_test2,full,2023-06,5304.1,66953.05,0.0,0.0,-580.52,-0.542
p2_filter_test2,full,2023-07,4627.24,71580.29,0.0,0.0,-1136.17,-1.035
p2_filter_test2,full,2023-08,2292.94,73873.23,0.0,0.0,-727.97,-0.651
p2_filter_test2,full,2023-09,3694.39,77567.62,0.0,0.0,-1070.14,-0.905
p2_filter_test2,full,2023-10,-408.9,77158.72,-408.9,-0.527,-1309.71,-1.108
p2_filter_test2,full,2023-11,-1422.05,75736.66,-1830.95,-2.36,-2706.99,-2.29
p2_filter_test2,full,2023-12,724.43,76461.09,-1106.52,-1.427,-3572.58,-3.023
p2_filter_test2,full,2024-01,6248.5,82709.6,0.0,0.0,-2285.67,-1.934
p2_filter_test2,full,2024-02,6974.56,89684.16,0.0,0.0,-962.73,-0.767
p2_filter_test2,full,2024-03,514.56,90198.71,0.0,0.0,-1451.26,-1.119
p2_filter_test2,full,2024-04,218.49,90417.21,0.0,0.0,-1215.85,-0.926
p2_filter_test2,full,2024-05,507.44,90924.64,0.0,0.0,-3213.01,-2.448
p2_filter_test2,full,2024-06,3960.8,94885.44,0.0,0.0,-1324.68,-0.993
p2_filter_test2,full,2024-07,4722.89,99608.33,0.0,0.0,-788.99,-0.564
p2_filter_test2,full,2024-08,9966.66,109574.99,0.0,0.0,-1013.72,-0.725
p2_filter_test2,full,2024-09,4906.45,114481.44,0.0,0.0,-966.84,-0.643
p2_filter_test2,full,2024-10,7197.5,121678.93,0.0,0.0,-2450.48,-1.58
p2_filter_test2,full,2024-11,611.23,122290.16,0.0,0.0,-2696.44,-1.639
p2_filter_test2,full,2024-12,3223.6,125513.76,0.0,0.0,-2999.05,-1.823
p2_filter_test2,full,2025-01,7916.08,133429.84,0.0,0.0,-867.1,-0.508
p2_filter_test2,full,2025-02,5443.15,138873.0,0.0,0.0,-731.41,-0.408
p2_filter_test2,full,2025-03,4252.28,143125.28,0.0,0.0,-1864.64,-1.023
p2_filter_test2,full,2025-04,11879.23,155004.51,0.0,0.0,-1107.6,-0.599
p2_filter_test2,full,2025-05,4472.31,159476.82,0.0,0.0,-1365.72,-0.686
p2_filter_test2,full,2025-06,5746.26,165223.08,0.0,0.0,-2145.05,-1.044
p2_filter_test2,full,2025-07,13980.36,179203.43,0.0,0.0,-1460.78,-0.688
p2_filter_test2,full,2025-08,4928.73,184132.16,0.0,0.0,-2488.94,-1.105
p2_filter_test2,full,2025-09,1494.82,185626.98,0.0,0.0,-2376.33,-1.054
p2_filter_test2,full,2025-10,7579.08,193206.06,0.0,0.0,-1624.45,-0.71
p2_filter_test2,full,2025-11,9800.32,203006.37,0.0,0.0,-847.53,-0.358
p2_filter_test2,full,2025-12,-392.06,202614.32,-392.06,-0.193,-1096.44,-0.452
p2_filter_test2,full,2026-01,-1437.13,201177.18,-1829.19,-0.901,-2898.66,-1.192
p2_filter_test2,full,2026-02,2120.83,203298.01,0.0,0.0,-2962.08,-1.218
p2_filter_test2,full,2026-03,5227.62,208525.63,0.0,0.0,-1818.26,-0.744
p2_filter_test3,full,2021-01,1097.02,11097.02,0.0,0.0,-585.6,-1.17
p2_filter_test3,full,2021-02,1136.12,12233.14,0.0,0.0,-366.55,-0.697
p2_filter_test3,full,2021-03,-536.36,11696.78,-536.36,-4.384,-1108.99,-2.11
p2_filter_test3,full,2021-04,2188.54,13885.32,0.0,0.0,-882.62,-1.679
p2_filter_test3,full,2021-05,1739.55,15624.87,0.0,0.0,-366.49,-0.655
p2_filter_test3,full,2021-06,1223.08,16847.96,0.0,0.0,-889.89,-1.578
p2_filter_test3,full,2021-07,-565.34,16282.61,-565.34,-3.356,-754.46,-1.325
p2_filter_test3,full,2021-08,-119.62,16163.0,-684.96,-4.066,-1591.96,-2.795
p2_filter_test3,full,2021-09,4231.72,20394.72,0.0,0.0,-1103.84,-1.938
p2_filter_test3,full,2021-10,104.93,20499.65,0.0,0.0,-921.26,-1.501
p2_filter_test3,full,2021-11,6.89,20506.54,0.0,0.0,-1128.64,-1.838
p2_filter_test3,full,2021-12,2631.27,23137.81,0.0,0.0,-1058.29,-1.724
p2_filter_test3,full,2022-01,2333.03,25470.84,0.0,0.0,-734.96,-1.116
p2_filter_test3,full,2022-02,448.16,25919.01,0.0,0.0,-731.22,-1.11
p2_filter_test3,full,2022-03,934.04,26853.04,0.0,0.0,-327.78,-0.49
p2_filter_test3,full,2022-04,1212.28,28065.33,0.0,0.0,-249.26,-0.372
p2_filter_test3,full,2022-05,677.33,28742.66,0.0,0.0,-328.91,-0.479
p2_filter_test3,full,2022-06,5749.11,34491.77,0.0,0.0,-561.44,-0.759
p2_filter_test3,full,2022-07,981.74,35473.51,0.0,0.0,-506.55,-0.669
p2_filter_test3,full,2022-08,28.53,35502.04,0.0,0.0,-1082.66,-1.426
p2_filter_test3,full,2022-09,2232.42,37734.46,0.0,0.0,-1117.82,-1.472
p2_filter_test3,full,2022-10,286.94,38021.4,0.0,0.0,-1247.85,-1.586
p2_filter_test3,full,2022-11,1019.22,39040.62,0.0,0.0,-1039.68,-1.318
p2_filter_test3,full,2022-12,4463.91,43504.53,0.0,0.0,-588.78,-0.703
p2_filter_test3,full,2023-01,5107.98,48612.51,0.0,0.0,-1113.26,-1.288
p2_filter_test3,full,2023-02,1161.74,49774.25,0.0,0.0,-1029.51,-1.134
p2_filter_test3,full,2023-03,3252.61,53026.86,0.0,0.0,-1636.32,-1.803
p2_filter_test3,full,2023-04,7273.48,60300.33,0.0,0.0,-963.43,-1.009
