branch,mode,month,worst_intramonth_dd_amt,worst_intramonth_dd_pct
p2_filter_test1,full,2011-09,-80.73,-0.179
p2_filter_test1,full,2011-10,-80.08,-0.177
p2_filter_test1,full,2011-11,-218.2,-0.481
p2_filter_test1,full,2011-12,-312.25,-0.688
p2_filter_test1,full,2012-01,-348.24,-0.768
p2_filter_test1,full,2012-02,-301.07,-0.664
p2_filter_test1,full,2012-03,-170.68,-0.374
p2_filter_test1,full,2012-04,-153.97,-0.338
p2_filter_test1,full,2012-05,-155.48,-0.339
p2_filter_test1,full,2012-06,-144.46,-0.315
p2_filter_test1,full,2012-07,-140.08,-0.298
p2_filter_test1,full,2012-08,-71.01,-0.151
p2_filter_test1,full,2012-09,-65.11,-0.137
p2_filter_test1,full,2012-10,-242.25,-0.504
p2_filter_test1,full,2012-11,-226.69,-0.472
p2_filter_test1,full,2012-12,-129.47,-0.268
p2_filter_test1,full,2013-01,-129.77,-0.269
p2_filter_test1,full,2013-02,-192.99,-0.397
p2_filter_test1,full,2013-03,-232.38,-0.478
p2_filter_test1,full,2013-04,-320.31,-0.648
p2_filter_test1,full,2013-05,-278.93,-0.564
p2_filter_test1,full,2013-06,-125.33,-0.253
p2_filter_test1,full,2013-07,-107.8,-0.217
p2_filter_test1,full,2013-08,-184.22,-0.368
p2_filter_test1,full,2013-09,-195.59,-0.391
p2_filter_test1,full,2013-10,-161.44,-0.321
p2_filter_test1,full,2013-11,-46.73,-0.093
p2_filter_test1,full,2013-12,-241.02,-0.473
p2_filter_test1,full,2014-01,-148.8,-0.289
p2_filter_test1,full,2014-02,-132.71,-0.253
p2_filter_test1,full,2014-03,-226.68,-0.432
p2_filter_test1,full,2014-04,-204.32,-0.386
p2_filter_test1,full,2014-05,-82.27,-0.152
p2_filter_test1,full,2014-06,-214.81,-0.394
p2_filter_test1,full,2014-07,-176.22,-0.321
p2_filter_test1,full,2014-08,-156.94,-0.28
p2_filter_test1,full,2014-09,-188.93,-0.335
p2_filter_test1,full,2014-10,-88.03,-0.152
p2_filter_test1,full,2014-11,-229.06,-0.392
p2_filter_test1,full,2014-12,-175.16,-0.299
p2_filter_test1,full,2015-01,-98.7,-0.166
p2_filter_test1,full,2015-02,-74.5,-0.125
p2_filter_test1,full,2015-03,-129.74,-0.215
p2_filter_test1,full,2015-04,-184.46,-0.303
p2_filter_test1,full,2015-05,-286.46,-0.458
p2_filter_test1,full,2015-06,-433.76,-0.691
p2_filter_test1,full,2015-07,-171.73,-0.268
p2_filter_test1,full,2015-08,-399.7,-0.619
p2_filter_test1,full,2015-09,-728.06,-1.127
p2_filter_test1,full,2015-10,-556.19,-0.861
p2_filter_test1,full,2015-11,-477.26,-0.73
p2_filter_test1,full,2015-12,-197.12,-0.302
p2_filter_test1,full,2016-01,-350.48,-0.531
p2_filter_test1,full,2016-02,-639.23,-0.969
p2_filter_test1,full,2016-03,-427.52,-0.648
p2_filter_test1,full,2016-04,-640.06,-0.969
p2_filter_test1,full,2016-05,-620.47,-0.938
p2_filter_test1,full,2016-06,-266.94,-0.404
p2_filter_test1,full,2016-07,-429.56,-0.632
p2_filter_test1,full,2016-08,-347.46,-0.509
p2_filter_test1,full,2016-09,-431.83,-0.632
p2_filter_test1,full,2016-10,-222.53,-0.322
p2_filter_test1,full,2016-11,-686.9,-0.993
p2_filter_test1,full,2016-12,-698.88,-1.01
p2_filter_test1,full,2017-01,-795.24,-1.15
p2_filter_test1,full,2017-02,-190.69,-0.273
p2_filter_test1,full,2017-03,-238.72,-0.335
p2_filter_test1,full,2017-04,-256.55,-0.356
p2_filter_test1,full,2017-05,-252.0,-0.349
p2_filter_test1,full,2017-06,-459.5,-0.628
p2_filter_test1,full,2017-07,-542.14,-0.737
p2_filter_test1,full,2017-08,-518.66,-0.705
p2_filter_test1,full,2017-09,-350.87,-0.463
p2_filter_test1,full,2017-10,-482.84,-0.629
p2_filter_test1,full,2017-11,-245.92,-0.311
p2_filter_test1,full,2017-12,-283.43,-0.349
p2_filter_test1,full,2018-01,-440.69,-0.542
p2_filter_test1,full,2018-02,-290.21,-0.351
p2_filter_test1,full,2018-03,-353.39,-0.421
p2_filter_test1,full,2018-04,-817.74,-0.966
p2_filter_test1,full,2018-05,-811.49,-0.959
p2_filter_test1,full,2018-06,-533.38,-0.619
p2_filter_test1,full,2018-07,-349.84,-0.384
p2_filter_test1,full,2018-08,-545.33,-0.589
p2_filter_test1,full,2018-09,-734.3,-0.793
p2_filter_test1,full,2018-10,-484.05,-0.506
p2_filter_test1,full,2018-11,-585.42,-0.596
p2_filter_test1,full,2018-12,-563.65,-0.574
p2_filter_test1,full,2019-01,-500.7,-0.495
p2_filter_test1,full,2019-02,-467.74,-0.453
p2_filter_test1,full,2019-03,-161.71,-0.155
p2_filter_test1,full,2019-04,-371.87,-0.353
p2_filter_test1,full,2019-05,-366.17,-0.344
p2_filter_test1,full,2019-06,-453.4,-0.403
p2_filter_test1,full,2019-07,-1401.26,-1.222
p2_filter_test1,full,2019-08,-1093.8,-0.954
p2_filter_test1,full,2019-09,-1699.48,-1.413
p2_filter_test1,full,2019-10,-1064.45,-0.876
p2_filter_test1,full,2019-11,-559.58,-0.46
p2_filter_test1,full,2019-12,-645.7,-0.522
p2_filter_test1,full,2020-01,-904.53,-0.73
p2_filter_test1,full,2020-02,-2590.09,-2.079
p2_filter_test1,full,2020-03,-1578.74,-1.267
p2_filter_test1,full,2020-04,-2006.55,-1.611
p2_filter_test1,full,2020-05,-1131.48,-0.908
p2_filter_test1,full,2020-06,-625.94,-0.485
p2_filter_test1,full,2020-07,-313.25,-0.235
p2_filter_test1,full,2020-08,-752.35,-0.552
p2_filter_test1,full,2020-09,-1229.02,-0.882
p2_filter_test1,full,2020-10,-1228.5,-0.882
p2_filter_test1,full,2020-11,-485.91,-0.342
p2_filter_test1,full,2020-12,-2065.98,-1.422
p2_filter_test1,full,2021-01,-2001.22,-1.377
p2_filter_test1,full,2021-02,-809.44,-0.54
