branch,mode,month,monthly_pnl,monthly_return_on_mode_start_pct,month_end_equity,month_end_drawdown_amt,month_end_drawdown_pct
p2_filter_test1,full,2011-09,-4.62,-0.01,44995.38,-36.73,-0.082
p2_filter_test1,full,2011-10,133.61,0.297,45128.99,-80.08,-0.177
p2_filter_test1,full,2011-11,15.33,0.034,45144.33,-218.2,-0.481
p2_filter_test1,full,2011-12,-52.39,-0.116,45091.94,-270.59,-0.597
p2_filter_test1,full,2012-01,-35.64,-0.079,45056.3,-306.23,-0.675
p2_filter_test1,full,2012-02,455.4,1.012,45511.7,0.0,0.0
p2_filter_test1,full,2012-03,-52.3,-0.116,45459.4,-137.74,-0.302
p2_filter_test1,full,2012-04,114.43,0.254,45573.83,-23.31,-0.051
p2_filter_test1,full,2012-05,184.05,0.409,45757.88,-155.48,-0.339
p2_filter_test1,full,2012-06,628.72,1.397,46386.6,0.0,0.0
p2_filter_test1,full,2012-07,529.8,1.177,46916.4,-90.85,-0.193
p2_filter_test1,full,2012-08,446.86,0.993,47363.26,-53.6,-0.113
p2_filter_test1,full,2012-09,613.91,1.364,47977.17,0.0,0.0
p2_filter_test1,full,2012-10,-162.22,-0.36,47814.96,-242.25,-0.504
p2_filter_test1,full,2012-11,144.17,0.32,47959.13,-130.39,-0.271
p2_filter_test1,full,2012-12,192.58,0.428,48151.71,-129.47,-0.268
p2_filter_test1,full,2013-01,331.21,0.736,48482.91,-10.72,-0.022
p2_filter_test1,full,2013-02,-22.23,-0.049,48460.68,-192.99,-0.397
p2_filter_test1,full,2013-03,340.3,0.756,48800.99,-82.11,-0.168
p2_filter_test1,full,2013-04,309.84,0.689,49110.82,-313.97,-0.635
p2_filter_test1,full,2013-05,285.46,0.634,49396.28,-32.15,-0.065
p2_filter_test1,full,2013-06,157.37,0.35,49553.65,-100.2,-0.202
p2_filter_test1,full,2013-07,417.45,0.928,49971.1,-27.05,-0.054
p2_filter_test1,full,2013-08,-157.17,-0.349,49813.93,-184.22,-0.368
p2_filter_test1,full,2013-09,137.09,0.305,49951.03,-106.71,-0.213
p2_filter_test1,full,2013-10,375.06,0.833,50326.08,0.0,0.0
p2_filter_test1,full,2013-11,425.44,0.945,50751.52,0.0,0.0
p2_filter_test1,full,2013-12,450.94,1.002,51202.45,0.0,0.0
p2_filter_test1,full,2014-01,734.32,1.632,51936.77,-0.93,-0.002
p2_filter_test1,full,2014-02,441.56,0.981,52378.33,-132.71,-0.253
p2_filter_test1,full,2014-03,484.63,1.077,52862.97,0.0,0.0
p2_filter_test1,full,2014-04,634.5,1.41,53497.47,-75.28,-0.141
p2_filter_test1,full,2014-05,824.73,1.833,54322.2,0.0,0.0
p2_filter_test1,full,2014-06,334.9,0.744,54657.1,0.0,0.0
p2_filter_test1,full,2014-07,1272.1,2.827,55929.2,-44.37,-0.079
