entry_ts,exit_ts,dir,entry,exit,pnl,win,exit_reason,qty
2021-01-22 12:00:00,2021-01-22 15:00:00,short,13340.6,13363.397395753087,-7.562060122274127,False,stop,0.3317071916536894
2021-01-22 13:00:00,2021-01-22 15:00:00,short,13336.6,13365.497395753087,-9.585473991361752,False,stop,0.3317071916536894
2021-01-25 15:00:00,2021-01-25 16:00:00,long,13555.4,13465.661575957025,-19.93140986354541,False,stop,0.22210563731318145
2021-01-26 22:00:00,2021-01-27 12:00:00,long,13567.55,13508.372833206848,-7.39260027484014,False,stop,0.12492318702381101
2021-01-27 02:00:00,2021-01-27 12:00:00,long,13567.0,13514.376455445936,-7.184625950518704,False,stop,0.13652873464533324
2021-01-27 15:00:00,2021-01-27 16:00:00,long,13296.95,13293.59099929325,-0.3401986675475709,False,stop,0.10127972490862534
2021-01-27 18:00:00,2021-01-27 20:00:00,short,13334.2,13230.847800612517,9.630865776510502,True,stop,0.0931849136601618
2021-01-28 17:00:00,2021-01-28 21:00:00,short,13321.05,13329.904593870546,-0.5712882874894597,False,stop,0.06451885832841689
2021-01-28 19:00:00,2021-01-28 21:00:00,long,13390.55,13207.695406129453,-11.797569636633998,False,stop,0.06451885832841689
2021-01-29 19:00:00,2021-02-01 08:00:00,short,12902.1,13011.93072501603,-6.558318409175953,False,stop,0.05971296655119804
2021-01-29 20:00:00,2021-02-01 08:00:00,short,12926.85,13008.886628347225,-5.002071723341078,False,stop,0.06097363853338184
2021-02-01 17:00:00,2021-02-02 03:00:00,short,13189.95,13383.174044838092,-12.4915137320063,False,stop,0.0646478223891513
2021-02-02 10:00:00,2021-02-03 15:00:00,long,13382.35,13488.84878963712,8.92460162123376,True,stop,0.08380002863547169
2021-02-02 15:00:00,2021-02-03 15:00:00,long,13397.85,13492.422284352171,8.206040425382943,True,stop,0.08677003502236526
2021-02-03 21:00:00,2021-02-04 06:00:00,long,13405.0,13366.003595683696,-4.139966086037564,False,stop,0.10616276445535593
2021-02-04 21:00:00,2021-02-05 15:00:00,long,13564.7,13553.93030489797,-1.3434485523120059,False,stop,0.12474341562915507
2021-02-05 03:00:00,2021-02-05 15:00:00,long,13588.0,13556.372930911573,-4.087243166084225,False,stop,0.12923243550189978
