entry_ts,exit_ts,dir,entry,exit,entry_price,exit_price,entry_signal_price,exit_signal_price,stop_price,stop_price_initial,stop_price_exit,initial_risk_price,r_value,fees,pnl,win,exit_reason,qty,be_triggered,confidence_mult,regime,_week
2023-03-14 16:48:00,2023-03-15 15:04:00,short,1895.98,1921.8647031262503,1895.98,1921.8647031262503,1895.98,1921.8647031262503,1921.8647031262503,1921.8647031262503,1921.8647031262503,25.884703126250315,-1.0,0.0,-4.375,False,stop,0.16901874356685995,False,0.5,bull,2023-03-13/2023-03-19
2023-03-15 10:44:00,2023-03-15 15:52:00,long,1898.75,1928.05400260317,1898.75,1928.05400260317,1898.75,1928.05400260317,1898.75,1876.2084595360232,1898.75,22.541540463976844,1.300000000000001,0.0,11.375000000000009,True,tp,0.38817222868965806,True,0.5,bull,2023-03-13/2023-03-19
2023-03-15 12:36:00,2023-03-15 19:19:00,long,1892.27,1932.7710689227472,1892.27,1932.7710689227472,1892.27,1932.7710689227472,1892.27,1861.1153315978868,1892.27,31.154668402113202,1.3000000000000014,0.0,11.375000000000012,True,tp,0.2808567848344196,True,0.5,bull,2023-03-13/2023-03-19
2023-03-16 04:15:00,2023-03-17 15:30:00,short,1911.4,1942.724123737931,1911.4,1942.724123737931,1911.4,1942.724123737931,1942.724123737931,1942.724123737931,1942.724123737931,31.324123737930904,-1.0,0.0,-2.1955390625,False,stop,0.07009099698585934,False,0.5,bull,2023-03-13/2023-03-19
2023-03-16 06:36:00,2023-03-17 15:30:00,short,1912.2,1943.524123737931,1912.2,1943.524123737931,1912.2,1943.524123737931,1943.524123737931,1943.524123737931,1943.524123737931,31.324123737930904,-1.0,0.0,-2.1955390625,False,stop,0.07009099698585934,False,0.5,bull,2023-03-13/2023-03-19
2023-03-16 03:54:00,2023-03-17 16:18:00,short,1917.61,1951.3532196976125,1917.61,1951.3532196976125,1917.61,1951.3532196976125,1951.3532196976125,1951.3532196976125,1951.3532196976125,33.74321969761263,-1.0,0.0,-2.1955390625,False,stop,0.06506608089492233,False,0.5,bull,2023-03-13/2023-03-19
2023-03-21 13:10:00,2023-03-21 20:28:00,long,1966.56,1937.102046735429,1966.56,1937.102046735429,1966.56,1937.102046735429,1937.102046735429,1937.102046735429,1937.102046735429,29.45795326457096,-1.0,0.0,-8.770629669921876,False,stop,0.2977338442745885,False,0.5,bull,2023-03-20/2023-03-26
2023-03-21 13:33:00,2023-03-21 20:28:00,long,1967.31,1937.852046735429,1967.31,1937.852046735429,1967.31,1937.852046735429,1937.852046735429,1937.852046735429,1937.852046735429,29.45795326457096,-1.0,0.0,-26.31188900976563,False,stop,0.8932015328237655,False,1.5,bull,2023-03-20/2023-03-26
2023-03-21 11:28:00,2023-03-21 20:29:00,long,1967.71,1936.6092846947258,1967.71,1936.6092846947258,1967.71,1936.6092846947258,1936.6092846947258,1936.6092846947258,1936.6092846947258,31.100715305274207,-1.0,0.0,-8.770629669921876,False,stop,0.28200732953671037,False,0.5,bull,2023-03-20/2023-03-26
2023-03-23 04:07:00,2023-03-27 01:07:00,long,1969.45,1969.45,1969.45,1969.45,1969.45,1969.45,1969.45,1940.8937843200065,1969.45,28.556215679993556,0.0,0.0,0.0,False,stop,0.15222406844337194,True,0.5,bull,2023-03-20/2023-03-26
