entry_ts,dir,entry_row
2025-12-01 13:00:00,long,"{'entry_ts': '2025-12-01 13:00:00', 'exit_ts': '2025-12-01 15:00:00', 'dir': 'long', 'entry': '25254.35', 'exit': '25178.273854927556', 'entry_price': '25254.35', 'exit_price': '25178.273854927556', 'entry_signal_price': '25254.35', 'exit_signal_price': '25178.273854927556', 'stop_price': '25178.273854927556', 'stop_price_initial': '25095.019727989165', 'stop_price_exit': '25178.273854927556', 'initial_risk_price': '159.33027201083314', 'r_value': '-0.4774745195142177', 'fees': '0.0', 'pnl': '-8975.549193745219', 'win': 'False', 'exit_reason': 'stop', 'qty': '117.98112516345842', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-01/2025-12-07'}"
2025-12-01 13:20:00,long,"{'entry_ts': '2025-12-01 13:20:00', 'exit_ts': '2025-12-01 16:40:00', 'dir': 'long', 'entry': '25249.35', 'exit': '25164.973854927557', 'entry_price': '25249.35', 'exit_price': '25164.973854927557', 'entry_signal_price': '25249.35', 'exit_signal_price': '25164.973854927557', 'stop_price': '25164.973854927557', 'stop_price_initial': '25090.019727989165', 'stop_price_exit': '25164.973854927557', 'initial_risk_price': '159.33027201083314', 'r_value': '-0.5295675706039374', 'fees': '0.0', 'pnl': '-6636.528355067891', 'win': 'False', 'exit_reason': 'stop', 'qty': '78.6540834423056', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-01/2025-12-07'}"
2025-12-01 16:00:00,long,"{'entry_ts': '2025-12-01 16:00:00', 'exit_ts': '2025-12-01 21:30:00', 'dir': 'long', 'entry': '25208.95', 'exit': '25332.25467427055', 'entry_price': '25208.95', 'exit_price': '25332.25467427055', 'entry_signal_price': '25208.95', 'exit_signal_price': '25332.25467427055', 'stop_price': '25332.25467427055', 'stop_price_initial': '25013.58376425728', 'stop_price_exit': '25332.25467427055', 'initial_risk_price': '195.36623574272016', 'r_value': '0.6311462868790157', 'fees': '0.0', 'pnl': '14094.363703781548', 'win': 'True', 'exit_reason': 'stop', 'qty': '114.30518581036496', 'be_triggered': 'True', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-01/2025-12-07'}"
2025-12-05 15:00:00,short,"{'entry_ts': '2025-12-05 15:00:00', 'exit_ts': '2025-12-05 16:25:00', 'dir': 'short', 'entry': '25665.15', 'exit': '25627.36868819597', 'entry_price': '25665.15', 'exit_price': '25627.36868819597', 'entry_signal_price': '25665.15', 'exit_signal_price': '25627.36868819597', 'stop_price': '25627.36868819597', 'stop_price_initial': '25818.18504036744', 'stop_price_exit': '25627.36868819597', 'initial_risk_price': '153.03504036743834', 'r_value': '0.24688013747256138', 'fees': '0.0', 'pnl': '2762.9579854801314', 'win': 'True', 'exit_reason': 'stop', 'qty': '73.13028197144966', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-01/2025-12-07'}"
2025-12-05 15:20:00,short,"{'entry_ts': '2025-12-05 15:20:00', 'exit_ts': '2025-12-05 16:25:00', 'dir': 'short', 'entry': '25642.35', 'exit': '25627.36868819597', 'entry_price': '25642.35', 'exit_price': '25627.36868819597', 'entry_signal_price': '25642.35', 'exit_signal_price': '25627.36868819597', 'stop_price': '25627.36868819597', 'stop_price_initial': '25795.385040367437', 'stop_price_exit': '25627.36868819597', 'initial_risk_price': '153.03504036743834', 'r_value': '0.09789465058498366', 'fees': '0.0', 'pnl': '730.3917043539108', 'win': 'True', 'exit_reason': 'stop', 'qty': '48.75352131429978', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-01/2025-12-07'}"
2025-12-05 15:50:00,short,"{'entry_ts': '2025-12-05 15:50:00', 'exit_ts': '2025-12-05 17:50:00', 'dir': 'short', 'entry': '25578.85', 'exit': '25653.36868819597', 'entry_price': '25578.85', 'exit_price': '25653.36868819597', 'entry_signal_price': '25578.85', 'exit_signal_price': '25653.36868819597', 'stop_price': '25653.36868819597', 'stop_price_initial': '25731.885040367437', 'stop_price_exit': '25653.36868819597', 'initial_risk_price': '153.03504036743834', 'r_value': '-0.486938729960477', 'fees': '0.0', 'pnl': '-3633.0484532759197', 'win': 'False', 'exit_reason': 'stop', 'qty': '48.75352131429978', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-01/2025-12-07'}"
2025-12-08 17:05:00,short,"{'entry_ts': '2025-12-08 17:05:00', 'exit_ts': '2025-12-08 23:00:00', 'dir': 'short', 'entry': '25718.05', 'exit': '25635.826575285624', 'entry_price': '25718.05', 'exit_price': '25635.826575285624', 'entry_signal_price': '25718.05', 'exit_signal_price': '25635.826575285624', 'stop_price': '25635.826575285624', 'stop_price_initial': '25890.506078660546', 'stop_price_exit': '25635.826575285624', 'initial_risk_price': '172.45607866054706', 'r_value': '0.476778930339818', 'fees': '0.0', 'pnl': '3556.6867321585028', 'win': 'True', 'exit_reason': 'stop', 'qty': '43.25636817626603', 'be_triggered': 'True', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-08 17:25:00,short,"{'entry_ts': '2025-12-08 17:25:00', 'exit_ts': '2025-12-08 23:00:00', 'dir': 'short', 'entry': '25663.75', 'exit': '25635.826575285624', 'entry_price': '25663.75', 'exit_price': '25635.826575285624', 'entry_signal_price': '25663.75', 'exit_signal_price': '25635.826575285624', 'stop_price': '25635.826575285624', 'stop_price_initial': '25836.206078660547', 'stop_price_exit': '25635.826575285624', 'initial_risk_price': '172.45607866054706', 'r_value': '0.16191615239807686', 'fees': '0.0', 'pnl': '1207.8659401872887', 'win': 'True', 'exit_reason': 'stop', 'qty': '43.25636817626603', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-09 13:00:00,short,"{'entry_ts': '2025-12-09 13:00:00', 'exit_ts': '2025-12-09 17:00:00', 'dir': 'short', 'entry': '25626.35', 'exit': '25621.62337971822', 'entry_price': '25626.35', 'exit_price': '25621.62337971822', 'entry_signal_price': '25626.35', 'exit_signal_price': '25621.62337971822', 'stop_price': '25621.62337971822', 'stop_price_initial': '25768.050086971667', 'stop_price_exit': '25621.62337971822', 'initial_risk_price': '141.7000869716685', 'r_value': '0.03335650939100924', 'fees': '0.0', 'pnl': '314.6725820862509', 'win': 'True', 'exit_reason': 'stop', 'qty': '66.57454234253166', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-09 13:20:00,short,"{'entry_ts': '2025-12-09 13:20:00', 'exit_ts': '2025-12-09 17:00:00', 'dir': 'short', 'entry': '25617.75', 'exit': '25621.62337971822', 'entry_price': '25617.75', 'exit_price': '25621.62337971822', 'entry_signal_price': '25617.75', 'exit_signal_price': '25621.62337971822', 'stop_price': '25621.62337971822', 'stop_price_initial': '25759.45008697167', 'stop_price_exit': '25621.62337971822', 'initial_risk_price': '141.7000869716685', 'r_value': '-0.027335055334127646', 'fees': '0.0', 'pnl': '-171.91232137294966', 'win': 'False', 'exit_reason': 'stop', 'qty': '44.38302822835443', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-09 13:40:00,short,"{'entry_ts': '2025-12-09 13:40:00', 'exit_ts': '2025-12-09 17:00:00', 'dir': 'short', 'entry': '25641.35', 'exit': '25621.62337971822', 'entry_price': '25641.35', 'exit_price': '25621.62337971822', 'entry_signal_price': '25641.35', 'exit_signal_price': '25621.62337971822', 'stop_price': '25621.62337971822', 'stop_price_initial': '25783.050086971667', 'stop_price_exit': '25621.62337971822', 'initial_risk_price': '141.7000869716685', 'r_value': '0.13921388972556825', 'fees': '0.0', 'pnl': '875.5271448161504', 'win': 'True', 'exit_reason': 'stop', 'qty': '44.38302822835443', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-09 20:35:00,short,"{'entry_ts': '2025-12-09 20:35:00', 'exit_ts': '2025-12-10 09:30:00', 'dir': 'short', 'entry': '25678.25', 'exit': '25689.075694099465', 'entry_price': '25678.25', 'exit_price': '25689.075694099465', 'entry_signal_price': '25678.25', 'exit_signal_price': '25689.075694099465', 'stop_price': '25689.075694099465', 'stop_price_initial': '25826.423176436496', 'stop_price_exit': '25689.075694099465', 'initial_risk_price': '148.17317643649585', 'r_value': '-0.07306109216133909', 'fees': '0.0', 'pnl': '-690.0116367571729', 'win': 'False', 'exit_reason': 'stop', 'qty': '63.738327576728906', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-10 13:20:00,short,"{'entry_ts': '2025-12-10 13:20:00', 'exit_ts': '2025-12-10 15:25:00', 'dir': 'short', 'entry': '25635.35', 'exit': '25673.234394452833', 'entry_price': '25635.35', 'exit_price': '25673.234394452833', 'entry_signal_price': '25635.35', 'exit_signal_price': '25673.234394452833', 'stop_price': '25673.234394452833', 'stop_price_initial': '25768.820739599065', 'stop_price_exit': '25673.234394452833', 'initial_risk_price': '133.4707395990663', 'r_value': '-0.2838404474766199', 'fees': '0.0', 'pnl': '-1785.7472318166908', 'win': 'False', 'exit_reason': 'stop', 'qty': '47.13675004202389', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-10 18:15:00,short,"{'entry_ts': '2025-12-10 18:15:00', 'exit_ts': '2025-12-10 21:00:00', 'dir': 'short', 'entry': '25606.6', 'exit': '25654.11314185912', 'entry_price': '25606.6', 'exit_price': '25654.11314185912', 'entry_signal_price': '25606.6', 'exit_signal_price': '25654.11314185912', 'stop_price': '25654.11314185912', 'stop_price_initial': '25752.874640985858', 'stop_price_exit': '25654.11314185912', 'initial_risk_price': '146.27464098585915', 'r_value': '-0.3248214559878219', 'fees': '0.0', 'pnl': '-2037.746138901308', 'win': 'False', 'exit_reason': 'stop', 'qty': '42.88805284532143', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-11 13:00:00,long,"{'entry_ts': '2025-12-11 13:00:00', 'exit_ts': '2025-12-11 16:30:00', 'dir': 'long', 'entry': '25574.55', 'exit': '25554.772601691788', 'entry_price': '25574.55', 'exit_price': '25554.772601691788', 'entry_signal_price': '25574.55', 'exit_signal_price': '25554.772601691788', 'stop_price': '25554.772601691788', 'stop_price_initial': '25362.3423781721', 'stop_price_exit': '25554.772601691788', 'initial_risk_price': '212.20762182789986', 'r_value': '-0.0931983410296686', 'fees': '0.0', 'pnl': '-1750.5536416046746', 'win': 'False', 'exit_reason': 'stop', 'qty': '88.51283744828288', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-11 13:20:00,long,"{'entry_ts': '2025-12-11 13:20:00', 'exit_ts': '2025-12-11 16:30:00', 'dir': 'long', 'entry': '25573.65', 'exit': '25554.772601691788', 'entry_price': '25573.65', 'exit_price': '25554.772601691788', 'entry_signal_price': '25573.65', 'exit_signal_price': '25554.772601691788', 'stop_price': '25554.772601691788', 'stop_price_initial': '25361.4423781721', 'stop_price_exit': '25554.772601691788', 'initial_risk_price': '212.20762182789986', 'r_value': '-0.08895721155351946', 'fees': '0.0', 'pnl': '-1113.928058600942', 'win': 'False', 'exit_reason': 'stop', 'qty': '59.00855829885525', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-11 15:05:00,short,"{'entry_ts': '2025-12-11 15:05:00', 'exit_ts': '2025-12-11 17:05:00', 'dir': 'short', 'entry': '25637.55', 'exit': '25498.427398308213', 'entry_price': '25637.55', 'exit_price': '25498.427398308213', 'entry_signal_price': '25637.55', 'exit_signal_price': '25498.427398308213', 'stop_price': '25498.427398308213', 'stop_price_initial': '25849.7576218279', 'stop_price_exit': '25498.427398308213', 'initial_risk_price': '212.20762182789986', 'r_value': '0.6555966298166922', 'fees': '0.0', 'pnl': '4925.654491570912', 'win': 'True', 'exit_reason': 'stop', 'qty': '35.40513497931315', 'be_triggered': 'True', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-11 19:20:00,short,"{'entry_ts': '2025-12-11 19:20:00', 'exit_ts': '2025-12-11 21:50:00', 'dir': 'short', 'entry': '25593.15', 'exit': '25696.738411867118', 'entry_price': '25593.15', 'exit_price': '25696.738411867118', 'entry_signal_price': '25593.15', 'exit_signal_price': '25696.738411867118', 'stop_price': '25696.738411867118', 'stop_price_initial': '25835.003272250848', 'stop_price_exit': '25696.738411867118', 'initial_risk_price': '241.8532722508462', 'r_value': '-0.4283109792274232', 'fees': '0.0', 'pnl': '-2687.8488980901598', 'win': 'False', 'exit_reason': 'stop', 'qty': '25.94738976728535', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-11 19:00:00,long,"{'entry_ts': '2025-12-11 19:00:00', 'exit_ts': '2025-12-12 01:05:00', 'dir': 'long', 'entry': '25503.35', 'exit': '25675.671588132882', 'entry_price': '25503.35', 'exit_price': '25675.671588132882', 'entry_signal_price': '25503.35', 'exit_signal_price': '25675.671588132882', 'stop_price': '25675.671588132882', 'stop_price_initial': '25261.496727749152', 'stop_price_exit': '25675.671588132882', 'initial_risk_price': '241.8532722508462', 'r_value': '0.712504679093836', 'fees': '0.0', 'pnl': '13413.886237804612', 'win': 'True', 'exit_reason': 'stop', 'qty': '77.84216930185605', 'be_triggered': 'True', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-11 19:55:00,long,"{'entry_ts': '2025-12-11 19:55:00', 'exit_ts': '2025-12-12 01:05:00', 'dir': 'long', 'entry': '25567.75', 'exit': '25675.671588132882', 'entry_price': '25567.75', 'exit_price': '25675.671588132882', 'entry_signal_price': '25567.75', 'exit_signal_price': '25675.671588132882', 'stop_price': '25675.671588132882', 'stop_price_initial': '25325.896727749154', 'stop_price_exit': '25675.671588132882', 'initial_risk_price': '241.8532722508462', 'r_value': '0.44622752931350623', 'fees': '0.0', 'pnl': '5600.567023176647', 'win': 'True', 'exit_reason': 'stop', 'qty': '51.8947795345707', 'be_triggered': 'True', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-12 15:00:00,long,"{'entry_ts': '2025-12-12 15:00:00', 'exit_ts': '2025-12-12 17:00:00', 'dir': 'long', 'entry': '25549.35', 'exit': '25485.99579902765', 'entry_price': '25549.35', 'exit_price': '25485.99579902765', 'entry_signal_price': '25549.35', 'exit_signal_price': '25485.99579902765', 'stop_price': '25485.99579902765', 'stop_price_initial': '25328.373373176844', 'stop_price_exit': '25485.99579902765', 'initial_risk_price': '220.97662682315422', 'r_value': '-0.28670091440508544', 'fees': '0.0', 'pnl': '-6595.007071219526', 'win': 'False', 'exit_reason': 'stop', 'qty': '104.09739164886406', 'be_triggered': 'False', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-12 15:20:00,long,"{'entry_ts': '2025-12-12 15:20:00', 'exit_ts': '2025-12-12 17:20:00', 'dir': 'long', 'entry': '25570.45', 'exit': '25485.99579902765', 'entry_price': '25570.45', 'exit_price': '25485.99579902765', 'entry_signal_price': '25570.45', 'exit_signal_price': '25485.99579902765', 'stop_price': '25485.99579902765', 'stop_price_initial': '25349.473373176847', 'stop_price_exit': '25485.99579902765', 'initial_risk_price': '220.97662682315422', 'r_value': '-0.38218612613695035', 'fees': '0.0', 'pnl': '-5860.974690007189', 'win': 'False', 'exit_reason': 'stop', 'qty': '69.3982610992427', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-12 15:40:00,long,"{'entry_ts': '2025-12-12 15:40:00', 'exit_ts': '2025-12-12 17:40:00', 'dir': 'long', 'entry': '25561.15', 'exit': '25485.99579902765', 'entry_price': '25561.15', 'exit_price': '25485.99579902765', 'entry_signal_price': '25561.15', 'exit_signal_price': '25485.99579902765', 'stop_price': '25485.99579902765', 'stop_price_initial': '25340.173373176847', 'stop_price_exit': '25485.99579902765', 'initial_risk_price': '220.97662682315422', 'r_value': '-0.34010022712717863', 'fees': '0.0', 'pnl': '-5215.570861784282', 'win': 'False', 'exit_reason': 'stop', 'qty': '69.3982610992427', 'be_triggered': 'False', 'confidence_mult': '1.0', 'regime': 'bull', '_week': '2025-12-08/2025-12-14'}"
2025-12-17 16:00:00,short,"{'entry_ts': '2025-12-17 16:00:00', 'exit_ts': '2025-12-17 17:50:00', 'dir': 'short', 'entry': '25211.85', 'exit': '24825.897745132403', 'entry_price': '25211.85', 'exit_price': '24825.897745132403', 'entry_signal_price': '25211.85', 'exit_signal_price': '24825.897745132403', 'stop_price': '24996.28938661235', 'stop_price_initial': '25508.736349898147', 'stop_price_exit': '24996.28938661235', 'initial_risk_price': '296.8863498981482', 'r_value': '1.3000000000000111', 'fees': '0.0', 'pnl': '14662.548772010803', 'win': 'True', 'exit_reason': 'tp', 'qty': '37.99057678012766', 'be_triggered': 'True', 'confidence_mult': '1.5', 'regime': 'bull', '_week': '2025-12-15/2025-12-21'}"
