direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,r_value,win
long,2024-04-03 09:03:00+00:00,2284.69,2024-04-03 09:13:00+00:00,2283.1471428571426,stop_loss,32.4074074074014,-60.36222314814622,10.362223148146228,1.5428571428574287,False
long,2024-04-04 10:13:00+00:00,2294.69,2024-04-04 10:44:00+00:00,2294.69,stop_be,27.720105353772723,15.942088207923867,8.90700623420577,1.792857142856974,True
long,2024-04-08 08:38:00+00:00,2334.94,2024-04-08 09:44:00+00:00,2334.94,stop_be,10.634680154953902,21.41081982483193,3.478129837817514,4.680714285714657,True
long,2024-04-08 10:02:00+00:00,2335.6,2024-04-08 10:30:00+00:00,2335.6,stop_be,21.8178490453626,17.806643186592826,7.135833525618698,2.2864285714281323,True
long,2024-04-08 10:33:00+00:00,2336.98,2024-04-08 11:21:00+00:00,2336.98,stop_be,12.79041705603266,20.80051139142059,4.186481928757422,3.907142857142844,True
long,2024-04-08 13:04:00+00:00,2336.85,2024-04-08 13:32:00+00:00,2341.821428571429,full_2r,20.146317493170258,68.52067652235587,6.596307273613806,2.4857142857144936,True
long,2024-04-08 15:09:00+00:00,2333.36,2024-04-08 15:20:00+00:00,2333.36,stop_be,11.901674188483833,21.320606901400456,3.8896893885619868,4.236428571428405,True
long,2024-04-09 10:24:00+00:00,2354.1,2024-04-09 12:23:00+00:00,2363.4042857142854,full_2r,10.861058476924077,72.20596557963455,3.5848278420132904,4.652142857142735,True
long,2024-04-11 07:03:00+00:00,2344.57,2024-04-11 07:29:00+00:00,2342.742142857143,stop_loss,27.840373434645024,-60.02298187466229,9.134756432332232,1.8278571428572832,False
long,2024-04-12 08:30:00+00:00,2385.61,2024-04-12 08:43:00+00:00,2389.627142857143,full_2r,25.186114774586567,67.46505943039296,8.417106369042164,2.0085714285714857,True
long,2024-04-12 14:07:00+00:00,2397.22,2024-04-12 14:17:00+00:00,2394.050714285714,stop_loss,16.068426901544367,-56.314608656769416,5.389172826660717,3.1692857142857065,False
short,2024-04-15 15:34:00+00:00,2352.98,2024-04-15 16:00:00+00:00,2360.8964285714283,stop_loss,6.397311910273188,-52.75479243422877,2.110929647403922,7.916428571428241,False
long,2024-04-16 08:56:00+00:00,2386.0,2024-04-16 09:09:00+00:00,2386.0,stop_be,28.659944881957692,15.61471312084884,9.57533129147801,1.7578571428575742,True
long,2024-04-16 09:36:00+00:00,2376.12,2024-04-16 09:43:00+00:00,2372.6107142857145,stop_loss,14.378470862277123,-55.23772642482898,4.77956403457103,3.5092857142853973,False
short,2024-04-19 12:31:00+00:00,2382.41,2024-04-19 12:40:00+00:00,2382.41,stop_be,22.099642422581127,17.72168597359103,7.369300905475874,2.270714285714348,True
short,2024-04-19 14:50:00+00:00,2378.72,2024-04-19 15:07:00+00:00,2378.72,stop_be,15.122220683970433,20.101036534425077,5.0342545595758,3.3242857142859066,True
short,2024-04-22 08:33:00+00:00,2369.75,2024-04-22 08:37:00+00:00,2366.9685714285715,full_2r,36.219580030275196,63.54553105144049,12.011100004570327,1.390714285714239,True
short,2024-04-22 08:34:00+00:00,2369.09,2024-04-22 08:37:00+00:00,2364.7571428571428,full_2r,23.236882610467784,67.80981813594123,7.701751461436821,2.166428571428696,True
short,2024-04-23 13:57:00+00:00,2304.46,2024-04-23 15:04:00+00:00,2304.46,stop_be,20.647112648339952,18.85445570364639,6.659476354659006,2.4714285714285325,True
long,2024-04-24 07:53:00+00:00,2326.52,2024-04-24 08:06:00+00:00,2325.052142857143,stop_loss,34.82773282393187,-62.46239622131611,11.340259826187093,1.4678571428571558,False
long,2024-04-24 07:56:00+00:00,2326.72,2024-04-24 09:02:00+00:00,2331.1928571428566,full_2r,22.846147403024872,69.19337802024137,7.447287178543158,2.236428571428405,True
short,2024-04-25 08:08:00+00:00,2317.11,2024-04-25 08:50:00+00:00,2318.622142857143,stop_loss,33.829998972967815,-62.133668258350426,10.977876954226772,1.5121428571428623,False
long,2024-04-25 15:21:00+00:00,2325.85,2024-04-25 15:30:00+00:00,2328.9257142857145,full_2r,33.06231869389525,65.49662655554927,10.771057888698573,1.5378571428573196,True
long,2024-04-26 14:16:00+00:00,2347.94,2024-04-26 14:38:00+00:00,2345.7714285714287,stop_loss,23.597380940005408,-58.925756857781636,7.753150762171988,2.16857142857134,False
short,2024-04-29 07:00:00+00:00,2327.61,2024-04-29 07:07:00+00:00,2329.96,stop_loss,21.650203111201154,-57.93659086664534,7.058613555324601,2.349999999999909,False
short,2024-04-30 08:10:00+00:00,2326.3,2024-04-30 08:30:00+00:00,2323.902857142858,full_2r,42.20715858152729,62.14164148523979,13.740800050241486,1.1985714285710856,True
short,2024-04-30 12:46:00+00:00,2316.0,2024-04-30 14:42:00+00:00,2311.915714285714,full_2r,24.924310454764615,68.27238982003695,8.076114026583616,2.0421428571430624,True
short,2024-05-01 13:57:00+00:00,2292.88,2024-05-01 14:31:00+00:00,2294.885714285714,stop_loss,25.54719028451885,-59.444681171369304,8.204316657855408,2.0057142857140207,False
long,2024-05-02 08:22:00+00:00,2315.63,2024-05-02 08:25:00+00:00,2313.392857142857,stop_loss,22.77151901363605,-58.32183284807596,7.37869174041891,2.237142857143226,False
