direction,entry_price,entry,entry_ts,entry_bar,stop,target,qty,atr,score,zone,exit_price,exit_ts,exit_reason,pnl,fee,win,month
short,17684.75,17684.75,2024-04-16 08:00:00,3086,17701.62821818741,17650.99356362518,4.1473572164280235,9.376787881894233,7,17679.728125,17701.62821818741,2024-04-16 08:15:00,stop,-99.33799021328552,29.337990213290198,False,2024-04
short,17691.75,17691.75,2024-04-16 09:00:00,3098,17693.776210399028,17661.482053204374,4.572622753041275,8.407762998784927,7,17679.728125,17693.776210399028,2024-04-16 09:15:00,stop,-41.62417520949173,32.35907943644719,False,2024-04
short,17687.75,17687.75,2024-04-16 10:00:00,3110,17698.19586183664,17644.793621735116,3.2031250248351926,11.932327295800805,7,17679.728125,17698.19586183664,2024-04-16 10:05:00,stop,-56.12183131812617,22.66242986321147,False,2024-04
short,17696.05,17696.05,2024-04-16 11:15:00,3125,17705.97858224876,17637.87137988057,2.348806267122197,16.16072781095254,8,17679.728125,17705.97858224876,2024-04-16 11:25:00,stop,-39.94615346685305,16.625837257323102,False,2024-04
short,17696.65,17696.65,2024-04-16 12:15:00,3137,17688.265800195615,17652.92889911973,3.1100470436931786,12.144750244519852,8,17679.728125,17688.265800195615,2024-04-16 12:20:00,stop,4.060290209055378,22.014965606309158,True,2024-04
short,17680.75,17680.75,2024-04-16 13:35:00,3153,17701.061839859925,17615.446720630334,2.0807135744931835,18.139799824906873,7,17679.728125,17701.061839859925,2024-04-16 14:00:00,stop,-56.978551532366616,14.715430612888142,False,2024-04
short,17706.15,17706.15,2024-04-16 15:20:00,3174,17722.36561551643,17647.129730176064,2.286955185231894,16.394519395538122,8,17679.728125,17722.36561551643,2024-04-16 15:30:00,stop,-53.28165460822443,16.197268621197484,False,2024-04
short,17714.35,17714.35,2024-04-17 08:45:00,3368,17699.36969124209,17680.061389410588,3.9114267320065026,9.524614052613586,9,17679.728125,17699.36969124209,2024-04-17 08:50:00,stop,30.87902727735008,27.715352852047754,True,2024-04
short,17689.25,17689.25,2024-04-17 10:00:00,3383,17692.565757495842,17623.479091268706,2.0427828893713866,18.269696869803795,7,17679.728125,17692.565757495842,2024-04-17 10:10:00,stop,-21.22749156813661,14.45411889032512,False,2024-04
short,17708.35,17708.35,2024-04-17 11:00:00,3395,17715.77829533452,17651.972670994666,2.376084955139273,15.66036916814793,5,17679.728125,17715.77829533452,2024-04-17 11:10:00,stop,-34.48087839282271,16.83061760613622,False,2024-04
