entry_time_utc;exit_time_utc;ticket;symbol;direction;volume;entry_price;exit_price;stop_price;tp_price;initial_risk;exit_reason;gross_profit;commission;swap;net_profit;r_value;score;confidence_mult;regime;comment
2025.12.01 14:05:00;2025.12.01 16:32:15;3;US100.cash;long;1.48;25222.63;25185.47;25185.59;25370.01;113.37;close;-50.73;0.00;0.00;-50.73;-0.328;0;1.00;bull;sl 25185.59
2025.12.01 13:40:00;2025.12.01 16:32:15;2;US100.cash;long;1.81;25208.03;25184.33;25184.50;25358.06;115.40;close;-38.77;0.00;0.00;-38.77;-0.205;0;1.00;bull;sl 25184.50
2025.12.03 14:15:00;2025.12.03 17:03:25;8;US100.cash;short;0.66;25398.34;25516.29;25516.19;25151.82;189.63;close;-75.00;0.00;0.00;-75.00;-0.622;0;1.00;bull;sl 25516.19
2025.12.04 16:00:00;2025.12.04 18:51:41;10;US100.cash;short;0.78;25485.73;25587.74;25587.74;25279.53;158.61;stop;-76.98;0.00;0.00;-76.98;-0.643;0;1.00;bull;sl 25587.74
2025.12.04 19:15:00;2025.12.04 21:36:37;12;US100.cash;short;0.42;25497.22;25554.52;25554.46;25285.87;162.58;close;-22.67;0.00;0.00;-22.67;-0.352;0;1.00;bull;sl 25554.46
2025.12.08 15:55:00;2025.12.08 22:59:41;14;US100.cash;short;0.74;25620.81;25632.05;25632.05;25405.82;165.38;stop;-5.55;0.00;0.00;-5.55;-0.068;0;1.00;bull;sl 25632.05
2025.12.08 16:20:00;2025.12.08 22:59:41;15;US100.cash;short;0.73;25620.21;25633.58;25633.32;25402.11;167.76;close;-6.81;0.00;0.00;-6.81;-0.080;0;1.00;bull;sl 25633.32
2025.12.08 16:45:00;2025.12.08 22:59:41;16;US100.cash;short;0.49;25599.41;25633.58;25633.32;25381.32;167.76;close;-14.91;0.00;0.00;-14.91;-0.204;0;1.00;bull;sl 25633.32
2025.12.10 14:20:00;2025.12.10 18:18:28;22;US100.cash;short;0.60;25619.71;25593.50;25593.36;25441.98;136.71;close;18.15;0.00;0.00;18.15;0.192;0;1.00;bull;sl 25593.36
2025.12.10 12:55:00;2025.12.10 18:18:29;20;US100.cash;short;0.74;25612.51;25594.14;25594.11;25432.97;138.11;close;16.66;0.00;0.00;16.66;0.133;0;1.00;bull;sl 25594.11
2025.12.10 13:55:00;2025.12.10 18:27:13;21;US100.cash;short;0.59;25637.10;25620.01;25620.01;25457.56;138.11;stop;12.30;0.00;0.00;12.30;0.124;0;1.00;bull;sl 25620.01
2025.12.10 16:15:00;2025.12.10 21:00:37;25;US100.cash;short;0.83;25602.76;25655.66;25655.46;25409.32;148.80;close;-40.47;0.00;0.00;-40.47;-0.356;0;1.00;bull;sl 25655.46
2025.12.10 16:40:00;2025.12.10 21:00:37;27;US100.cash;short;0.55;25590.81;25655.66;25655.46;25397.37;148.80;close;-33.45;0.00;0.00;-33.45;-0.436;0;1.00;bull;sl 25655.46
2025.12.10 17:05:00;2025.12.10 21:00:37;28;US100.cash;short;0.55;25602.81;25655.66;25655.46;25409.37;148.80;close;-27.12;0.00;0.00;-27.12;-0.355;0;1.00;bull;sl 25655.46
2025.12.11 13:30:00;2025.12.11 17:00:40;32;US100.cash;short;0.53;25616.51;25367.19;25487.53;25367.20;191.77;tp;134.12;0.00;0.00;134.12;1.300;0;1.00;bull;tp 25367.20
2025.12.11 13:55:00;2025.12.11 17:08:20;33;US100.cash;short;0.42;25611.61;25487.56;25487.53;25362.30;191.77;close;53.92;0.00;0.00;53.92;0.647;0;1.00;bull;sl 25487.53
2025.12.11 17:15:00;2025.12.12 01:06:20;38;US100.cash;long;1.16;25562.98;25678.40;25689.55;25843.56;215.83;close;136.82;0.00;-6.44;130.38;0.535;0;1.00;bull;sl 25678.85
