entry_time_utc;exit_time_utc;ticket;symbol;direction;volume;entry_price;exit_price;stop_price;tp_price;initial_risk;exit_reason;gross_profit;commission;swap;net_profit;r_value;score;confidence_mult;regime;broker_exit_reason;entry_comment;session_mult;regime_mult;zone_price;zone_time_utc;exit_comment;holding_minutes
2025.03.28 15:15:00;2025.03.28 16:15:25;2;US100.cash;short;0.55;19741.15;19767.76;19767.59;19493.83;26.44;close;-14.64;0.00;0.00;-14.64;-1.006;7;1.50;bull;sl;P2_B|SHORT|S=7|ATR=125.05571|REG=bull|CONF=1.5;1.00;0.50;19725.65;2025.03.21 10:00:00;sl 19767.59;60.4
2025.03.28 15:45:00;2025.03.28 16:15:27;3;US100.cash;short;0.36;19692.55;19769.56;19769.53;19440.63;76.98;stop;-27.72;0.00;0.00;-27.72;-1.000;8;1.00;bull;sl;P2_B|SHORT|S=8|ATR=127.47000|REG=bull|CONF=1.0;1.00;0.50;19725.65;2025.03.21 10:00:00;sl 19769.53;30.4
2025.03.28 16:15:00;2025.03.28 17:19:41;4;US100.cash;short;0.42;19750.15;19494.24;19633.78;19494.34;116.37;close;107.48;0.00;0.00;107.48;2.199;7;1.00;bull;tp;P2_B|SHORT|S=7|ATR=129.66286|REG=bull|CONF=1.0;1.20;0.50;19725.65;2025.03.21 10:00:00;tp 19494.34;64.7
2025.04.01 20:30:00;2025.04.01 22:36:39;9;US100.cash;short;0.28;19346.85;19364.05;19363.98;18966.30;17.13;close;-4.82;0.00;0.00;-4.82;-1.004;6;1.00;bull;sl;P2_B|SHORT|S=6|ATR=193.66714|REG=bull|CONF=1.0;1.20;0.50;19308.25;2025.04.01 01:00:00;sl 19363.98;126.7
2025.04.01 21:00:00;2025.04.01 22:36:40;10;US100.cash;short;0.28;19327.95;19364.94;19364.90;18944.87;36.95;stop;-10.36;0.00;0.00;-10.36;-1.001;6;1.00;bull;sl;P2_B|SHORT|S=6|ATR=194.81000|REG=bull|CONF=1.0;1.20;0.50;19308.25;2025.04.01 01:00:00;sl 19364.90;96.7
2025.04.01 19:40:00;2025.04.01 22:36:42;8;US100.cash;short;0.42;19346.55;19366.37;19366.29;18959.68;19.74;close;-8.32;0.00;0.00;-8.32;-1.004;6;1.50;bull;sl;P2_B|SHORT|S=6|ATR=196.54571|REG=bull|CONF=1.5;1.20;0.50;19308.25;2025.04.01 01:00:00;sl 19366.29;176.7
2025.04.02 16:40:00;2025.04.02 18:24:00;14;US100.cash;short;0.37;19324.15;19500.39;19500.29;18965.41;176.14;close;-65.21;0.00;0.00;-65.21;-1.001;5;1.50;bull;sl;P2_B|SHORT|S=5|ATR=183.04857|REG=bull|CONF=1.5;1.00;0.50;19308.25;2025.04.01 01:00:00;sl 19500.29;104.0
2025.04.02 23:15:00;2025.04.02 23:26:42;16;US100.cash;long;0.61;19770.51;19607.10;19607.65;20210.97;162.86;close;-99.68;0.00;0.00;-99.68;-1.003;8;1.50;bull;sl;P2_B|LONG|S=8|ATR=223.54429|REG=bull|CONF=1.5;1.00;1.00;19809.25;2025.03.27 05:00:00;sl 19607.65;11.7
2025.04.09 20:55:00;2025.04.10 11:24:41;18;US100.cash;long;0.13;18615.35;18697.70;18698.34;19835.62;82.99;close;10.71;0.00;-0.81;9.90;0.992;7;1.50;bear;sl;P2_B|LONG|S=7|ATR=625.68143|REG=bear|CONF=1.5;1.20;0.50;18643.35;2025.04.03 05:00:00;sl 18698.34;869.7
2025.04.09 22:00:00;2025.04.10 11:32:30;19;US100.cash;long;0.07;18628.91;18685.99;18686.13;19879.75;57.22;close;4.00;0.00;-0.44;3.56;0.998;8;1.00;bear;sl;P2_B|LONG|S=8|ATR=640.95571|REG=bear|CONF=1.0;1.00;0.50;18643.35;2025.04.03 05:00:00;sl 18686.13;812.5
2025.04.09 22:35:00;2025.04.10 11:32:38;20;US100.cash;long;0.07;19086.21;18677.93;18678.07;20354.94;408.14;close;-28.58;0.00;-0.44;-29.02;-1.000;8;1.00;bear;sl;P2_B|LONG|S=8|ATR=651.02000|REG=bear|CONF=1.0;1.00;0.50;19082.45;2025.04.01 21:00:00;sl 18678.07;777.6
2025.04.10 17:35:00;2025.04.10 18:58:28;24;US100.cash;long;0.14;18610.15;18140.69;18141.17;19717.15;468.98;close;-65.72;0.00;0.00;-65.72;-1.001;6;1.50;bear;sl;P2_B|LONG|S=6|ATR=566.72000|REG=bear|CONF=1.5;1.20;0.50;18643.35;2025.04.03 05:00:00;sl 18141.17;83.5
2025.04.10 18:50:00;2025.04.10 20:02:39;25;US100.cash;short;0.18;18226.05;18328.85;18327.97;17091.10;101.92;close;-18.50;0.00;0.00;-18.50;-1.009;6;1.00;bear;sl;P2_B|SHORT|S=6|ATR=580.77714|REG=bear|CONF=1.0;1.20;1.00;18216.99;2025.04.07 21:00:00;sl 18327.97;72.7
2025.04.10 21:10:00;2025.04.11 08:46:14;28;US100.cash;short;0.21;18245.85;18517.23;18517.06;17023.05;271.21;close;-56.99;0.00;0.01;-56.98;-1.001;4;1.50;bear;sl;P2_B|SHORT|S=4|ATR=626.13429|REG=bear|CONF=1.5;1.00;1.00;18216.99;2025.04.07 21:00:00;sl 18517.06;696.2
2025.04.10 22:30:00;2025.04.11 08:53:29;29;US100.cash;short;0.14;18243.75;18521.64;18521.49;17005.24;277.74;close;-38.90;0.00;0.01;-38.89;-1.001;5;1.00;bear;sl;P2_B|SHORT|S=5|ATR=631.67714|REG=bear|CONF=1.0;1.00;1.00;18216.99;2025.04.07 21:00:00;sl 18521.49;623.5
2025.04.16 18:25:00;2025.04.16 20:11:46;32;US100.cash;long;0.38;18572.75;18405.33;18405.43;18986.31;167.32;close;-63.62;0.00;0.00;-63.62;-1.001;5;1.50;bear;sl;P2_B|LONG|S=5|ATR=211.77929|REG=bear|CONF=1.5;1.20;0.50;18602.15;2025.04.14 21:00:00;sl 18405.43;106.8
2025.04.16 21:20:00;2025.04.16 22:50:26;34;US100.cash;short;0.59;18185.25;18184.84;18184.76;17747.37;0.49;close;0.24;0.00;0.00;0.24;0.830;8;1.50;bear;sl;P2_B|SHORT|S=8|ATR=223.25786|REG=bear|CONF=1.5;1.00;1.00;18218.05;2025.04.08 21:00:00;sl 18184.76;90.4
