entry_time_utc;exit_time_utc;ticket;symbol;direction;volume;entry_price;exit_price;stop_price;tp_price;initial_risk;exit_reason;gross_profit;commission;swap;net_profit;r_value;score;confidence_mult;regime;broker_exit_reason;entry_comment;session_mult;regime_mult;zone_price;zone_time_utc;exit_comment
2025.12.01 14:05:00;2025.12.01 16:32:15;3;US100.cash;long;1.48;25222.63;25185.47;25185.59;25370.01;113.37;close;-50.73;0.00;0.00;-50.73;-0.328;6;1.00;bull;sl;P2_B|LONG|S=6|ATR=75.57929|REG=bull|CONF=1.0;1.20;1.00;25223.95;2025.11.28 02:00:00;sl 25185.59
2025.12.01 13:40:00;2025.12.01 16:32:15;2;US100.cash;long;1.81;25208.03;25184.33;25184.50;25358.06;115.40;close;-38.77;0.00;0.00;-38.77;-0.205;5;1.50;bull;sl;P2_B|LONG|S=5|ATR=76.93643|REG=bull|CONF=1.5;1.00;1.00;25223.95;2025.11.28 02:00:00;sl 25184.50
2025.12.01 15:30:00;2025.12.01 15:35:00;6;US100.cash;long;1.27;25241.74;25223.04;25223.04;25412.15;131.09;stop;-23.75;0.00;0.00;-23.75;-0.181;5;1.00;bull;sl;P2_B|LONG|S=5|ATR=87.39357|REG=bull|CONF=1.0;1.20;1.00;25223.95;2025.11.28 02:00:00;auto_close
2025.12.03 14:15:00;2025.12.03 17:03:25;8;US100.cash;short;0.66;25398.34;25516.29;25516.19;25151.82;189.63;close;-75.00;0.00;0.00;-75.00;-0.622;6;1.50;bull;sl;P2_B|SHORT|S=6|ATR=126.42071|REG=bull|CONF=1.5;1.20;0.50;25445.15;2025.12.01 22:00:00;sl 25516.19
2025.12.04 16:00:00;2025.12.04 18:51:41;10;US100.cash;short;0.78;25485.73;25587.74;25587.74;25279.53;158.61;stop;-76.98;0.00;0.00;-76.98;-0.643;6;1.50;bull;sl;P2_B|SHORT|S=6|ATR=105.74286|REG=bull|CONF=1.5;1.20;0.50;25472.96;2025.12.01 06:00:00;sl 25587.74
2025.12.04 19:15:00;2025.12.04 21:36:37;12;US100.cash;short;0.42;25497.22;25554.52;25554.46;25285.87;162.58;close;-22.67;0.00;0.00;-22.67;-0.352;6;1.00;bull;sl;P2_B|SHORT|S=6|ATR=108.38571|REG=bull|CONF=1.0;1.00;0.50;25472.96;2025.12.01 06:00:00;sl 25554.46
2025.12.08 15:55:00;2025.12.08 22:59:41;14;US100.cash;short;0.74;25620.81;25632.05;25632.05;25405.82;165.38;stop;-5.55;0.00;0.00;-5.55;-0.068;6;1.50;bull;sl;P2_B|SHORT|S=6|ATR=110.25000|REG=bull|CONF=1.5;1.20;0.50;25619.95;2025.12.02 22:00:00;sl 25632.05
2025.12.08 16:20:00;2025.12.08 22:59:41;15;US100.cash;short;0.73;25620.21;25633.58;25633.32;25402.11;167.76;close;-6.81;0.00;0.00;-6.81;-0.080;6;1.50;bull;sl;P2_B|SHORT|S=6|ATR=111.84286|REG=bull|CONF=1.5;1.20;0.50;25619.95;2025.12.02 22:00:00;sl 25633.32
2025.12.08 16:45:00;2025.12.08 22:59:41;16;US100.cash;short;0.49;25599.41;25633.58;25633.32;25381.32;167.76;close;-14.91;0.00;0.00;-14.91;-0.204;6;1.00;bull;sl;P2_B|SHORT|S=6|ATR=111.84286|REG=bull|CONF=1.0;1.20;0.50;25619.95;2025.12.02 22:00:00;sl 25633.32
2025.12.10 14:20:00;2025.12.10 18:18:28;22;US100.cash;short;0.60;25619.71;25593.50;25593.36;25441.98;136.71;close;18.15;0.00;0.00;18.15;0.192;7;1.00;bull;sl;P2_B|SHORT|S=7|ATR=91.14286|REG=bull|CONF=1.0;1.20;0.50;25619.95;2025.12.02 22:00:00;sl 25593.36
2025.12.10 12:55:00;2025.12.10 18:18:29;20;US100.cash;short;0.74;25612.51;25594.14;25594.11;25432.97;138.11;close;16.66;0.00;0.00;16.66;0.133;8;1.50;bull;sl;P2_B|SHORT|S=8|ATR=92.07143|REG=bull|CONF=1.5;1.00;0.50;25619.95;2025.12.02 22:00:00;sl 25594.11
2025.12.10 13:55:00;2025.12.10 18:27:13;21;US100.cash;short;0.59;25637.10;25620.01;25620.01;25457.56;138.11;stop;12.30;0.00;0.00;12.30;0.124;5;1.00;bull;sl;P2_B|SHORT|S=5|ATR=92.07143|REG=bull|CONF=1.0;1.20;0.50;25619.95;2025.12.02 22:00:00;sl 25620.01
2025.12.10 16:15:00;2025.12.10 21:00:37;25;US100.cash;short;0.83;25602.76;25655.66;25655.46;25409.32;148.80;close;-40.47;0.00;0.00;-40.47;-0.356;6;1.50;bull;sl;P2_B|SHORT|S=6|ATR=99.20000|REG=bull|CONF=1.5;1.20;0.50;25619.95;2025.12.02 22:00:00;sl 25655.46
2025.12.10 16:40:00;2025.12.10 21:00:37;27;US100.cash;short;0.55;25590.81;25655.66;25655.46;25397.37;148.80;close;-33.45;0.00;0.00;-33.45;-0.436;6;1.00;bull;sl;P2_B|SHORT|S=6|ATR=99.20000|REG=bull|CONF=1.0;1.20;0.50;25619.95;2025.12.02 22:00:00;sl 25655.46
2025.12.10 17:05:00;2025.12.10 21:00:37;28;US100.cash;short;0.55;25602.81;25655.66;25655.46;25409.37;148.80;close;-27.12;0.00;0.00;-27.12;-0.355;6;1.00;bull;sl;P2_B|SHORT|S=6|ATR=99.20000|REG=bull|CONF=1.0;1.20;0.50;25619.95;2025.12.02 22:00:00;sl 25655.46
2025.12.11 14:25:00;2025.12.11 14:45:00;34;US100.cash;short;0.43;25612.01;25561.77;25561.77;25366.02;189.22;stop;21.60;0.00;0.00;21.60;0.114;5;1.00;bull;sl;P2_B|SHORT|S=5|ATR=126.15000|REG=bull|CONF=1.0;1.20;0.50;25627.85;2025.12.03 14:00:00;auto_close
2025.12.11 13:30:00;2025.12.11 17:00:40;32;US100.cash;short;0.53;25616.51;25367.19;25487.53;25367.20;191.77;tp;134.12;0.00;0.00;134.12;1.300;4;1.50;bull;tp;P2_B|SHORT|S=4|ATR=127.85000|REG=bull|CONF=1.5;1.00;0.50;25627.85;2025.12.03 14:00:00;tp 25367.20
2025.12.11 13:55:00;2025.12.11 17:08:20;33;US100.cash;short;0.42;25611.61;25487.56;25487.53;25362.30;191.77;close;53.92;0.00;0.00;53.92;0.647;5;1.00;bull;sl;P2_B|SHORT|S=5|ATR=127.85000|REG=bull|CONF=1.0;1.20;0.50;25627.85;2025.12.03 14:00:00;sl 25487.53
2025.12.11 17:15:00;2025.12.12 01:06:20;38;US100.cash;long;1.16;25562.98;25678.40;25689.55;25843.56;215.83;close;136.82;0.00;-1.85;134.97;0.535;4;1.50;bull;sl;P2_B|LONG|S=4|ATR=143.88571|REG=bull|CONF=1.5;1.20;1.00;25538.25;2025.12.05 18:00:00;sl 25678.85
2025.12.11 17:55:00;2025.12.12 01:06:20;39;US100.cash;long;0.64;25571.59;25678.40;25689.55;25852.16;215.83;close;70.62;0.00;-1.02;69.60;0.495;5;1.00;bull;sl;P2_B|LONG|S=5|ATR=143.88571|REG=bull|CONF=1.0;1.00;1.00;25538.25;2025.12.05 18:00:00;sl 25678.85
2025.12.17 13:40:00;2025.12.17 17:45:16;43;US100.cash;short;0.29;25191.17;24877.12;25022.82;24877.30;241.44;close;91.97;0.00;0.00;91.97;1.301;5;1.00;bull;tp;P2_B|SHORT|S=5|ATR=160.95786|REG=bull|CONF=1.0;1.00;0.50;25176.95;2025.12.17 02:00:00;tp 24877.30
2025.12.17 13:15:00;2025.12.17 17:45:40;42;US100.cash;short;0.44;25167.87;24855.62;25022.10;24855.75;240.10;close;138.92;0.00;0.00;138.92;1.301;6;1.50;bull;tp;P2_B|SHORT|S=6|ATR=160.06500|REG=bull|CONF=1.5;1.00;0.50;25176.95;2025.12.17 02:00:00;tp 24855.75
2025.12.18 15:25:00;2025.12.18 19:09:37;46;US100.cash;long;0.97;25092.71;25024.55;25024.68;25442.54;269.10;close;-63.83;0.00;0.00;-63.83;-0.253;7;1.50;bull;sl;P2_B|LONG|S=7|ATR=179.40071|REG=bull|CONF=1.5;1.20;1.00;25101.55;2025.12.14 22:00:00;sl 25024.68
2025.12.18 15:50:00;2025.12.18 19:09:40;47;US100.cash;long;0.63;25150.22;25020.68;25020.69;25509.78;276.58;stop;-79.80;0.00;0.00;-79.80;-0.468;7;1.00;bull;sl;P2_B|LONG|S=7|ATR=184.38643|REG=bull|CONF=1.0;1.20;1.00;25101.55;2025.12.14 22:00:00;sl 25020.69
2025.12.18 16:20:00;2025.12.18 19:09:40;48;US100.cash;long;0.95;25147.12;25020.36;25020.45;25507.26;277.03;close;-118.27;0.00;0.00;-118.27;-0.458;7;1.50;bull;sl;P2_B|LONG|S=7|ATR=184.68643|REG=bull|CONF=1.5;1.20;1.00;25101.55;2025.12.14 22:00:00;sl 25020.45
2025.12.18 18:05:00;2025.12.18 21:33:42;52;US100.cash;long;0.55;25112.72;25008.72;25008.80;25448.49;258.29;close;-55.68;0.00;0.00;-55.68;-0.403;7;1.00;bull;sl;P2_B|LONG|S=7|ATR=172.19357|REG=bull|CONF=1.0;1.00;1.00;25101.55;2025.12.14 22:00:00;sl 25008.80
2025.12.18 18:30:00;2025.12.18 21:33:44;53;US100.cash;long;0.54;25134.32;25007.33;25007.34;25473.63;261.01;stop;-67.02;0.00;0.00;-67.02;-0.487;7;1.00;bull;sl;P2_B|LONG|S=7|ATR=174.00786|REG=bull|CONF=1.0;1.00;1.00;25101.55;2025.12.14 22:00:00;sl 25007.34
2025.12.19 19:30:00;2025.12.22 17:36:32;56;US100.cash;long;0.81;25345.95;25404.52;25404.62;25683.87;259.94;close;49.87;0.00;-3.87;46.00;0.225;8;1.50;bull;sl;P2_B|LONG|S=8|ATR=173.29214|REG=bull|CONF=1.5;1.00;1.00;25362.75;2025.12.11 22:00:00;sl 25404.62
2025.12.19 20:20:00;2025.12.22 17:36:32;58;US100.cash;long;0.81;25348.65;25404.52;25404.62;25686.57;259.94;close;47.52;0.00;-3.87;43.65;0.215;8;1.50;bull;sl;P2_B|LONG|S=8|ATR=173.29214|REG=bull|CONF=1.5;1.00;1.00;25362.75;2025.12.11 22:00:00;sl 25404.62
2025.12.22 15:35:00;2025.12.23 16:30:59;61;US100.cash;short;0.65;25407.74;25485.63;25485.37;25153.95;195.22;close;-48.02;0.00;-2.95;-50.97;-0.399;5;1.50;bull;sl;P2_B|SHORT|S=5|ATR=130.14929|REG=bull|CONF=1.5;1.20;0.50;25393.95;2025.12.15 22:00:00;sl 25485.37
2025.12.19 19:55:00;2025.12.26 01:14:24;57;US100.cash;long;0.53;25334.15;25672.09;25516.62;25672.07;259.94;close;180.33;0.00;-5.89;174.44;1.300;7;1.00;bull;tp;P2_B|LONG|S=7|ATR=173.29214|REG=bull|CONF=1.0;1.00;1.00;25362.75;2025.12.11 22:00:00;tp 25672.07
2025.12.29 13:20:00;2025.12.29 13:45:00;65;US100.cash;short;0.84;25525.12;25508.51;25508.51;25414.81;84.86;stop;13.96;0.00;0.00;13.96;0.164;7;1.00;bull;sl;P2_B|SHORT|S=7|ATR=56.57071|REG=bull|CONF=1.0;1.00;0.50;25504.55;2025.12.23 10:00:00;auto_close
2025.12.29 12:55:00;2025.12.29 13:45:00;64;US100.cash;short;1.26;25527.82;25508.51;25508.51;25417.51;84.86;stop;24.34;0.00;0.00;24.34;0.287;6;1.50;bull;sl;P2_B|SHORT|S=6|ATR=56.57071|REG=bull|CONF=1.5;1.00;0.50;25557.15;2025.12.22 22:00:00;auto_close
2025.12.29 13:55:00;2025.12.29 16:35:30;68;US100.cash;short;0.94;25474.83;25513.79;25513.69;25354.32;92.70;close;-31.81;0.00;0.00;-31.81;-0.420;8;1.00;bull;sl;P2_B|SHORT|S=8|ATR=61.79929|REG=bull|CONF=1.0;1.20;0.50;25504.55;2025.12.23 10:00:00;sl 25513.69
2025.12.29 16:00:00;2025.12.29 20:34:58;70;US100.cash;short;1.21;25468.43;25502.70;25502.69;25328.55;107.60;stop;-36.97;0.00;0.00;-36.97;-0.318;8;1.50;bull;sl;P2_B|SHORT|S=8|ATR=71.73500|REG=bull|CONF=1.5;1.20;0.50;25504.55;2025.12.23 10:00:00;sl 25502.69
2025.12.29 16:25:00;2025.12.29 20:34:58;71;US100.cash;short;0.80;25486.08;25502.70;25502.69;25346.19;107.60;stop;-11.44;0.00;0.00;-11.44;-0.154;8;1.00;bull;sl;P2_B|SHORT|S=8|ATR=71.73500|REG=bull|CONF=1.0;1.20;0.50;25504.55;2025.12.23 10:00:00;sl 25502.69
