window,test_start,test_end,trades,win_rate,profit_factor,net_pnl,total_fees,expectancy,return_pct,max_dd_pct,train_wr,adaptive_mult,degraded,capital_start,capital_end
1,2024-06-30,2024-07-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10000.0,10000.0
2,2024-07-30,2024-08-29,1,100.0,1.0,92.69,7.31,92.69,0.93,-0.02,20.0,0.5,False,10000.0,10092.69
3,2024-08-29,2024-09-28,1,100.0,1.0,194.99,6.86,194.99,1.93,-0.02,100.0,1.0,False,10092.69,10287.68
4,2024-09-28,2024-10-28,2,0.0,0.0,-230.14,25.59,-115.07,-2.24,-2.24,100.0,1.0,True,10287.68,10057.54
5,2024-10-28,2024-11-27,2,0.0,0.0,-179.67,29.4,-89.83,-1.79,-1.79,50.0,0.75,True,10057.54,9877.88
6,2024-11-27,2024-12-27,3,33.3,0.8,-33.92,33.33,-11.31,-0.34,-1.25,20.0,0.5,True,9877.88,9843.96
7,2024-12-27,2025-01-26,3,33.3,0.77,-37.92,37.02,-12.64,-0.39,-1.26,14.3,0.5,True,9843.96,9806.03
8,2025-01-26,2025-02-25,3,66.7,2.67,91.55,55.63,30.52,0.93,-0.74,25.0,0.5,False,9806.03,9897.58
9,2025-02-25,2025-03-27,1,0.0,0.0,-56.51,7.02,-56.51,-0.57,-0.57,44.4,0.5,True,9897.58,9841.07
10,2025-03-27,2025-04-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.5,True,9841.07,9841.07
11,2025-04-26,2025-05-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.5,True,9841.07,9841.07
12,2025-05-26,2025-06-25,4,50.0,1.72,67.42,30.38,16.86,0.69,-1.12,0.0,0.5,False,9841.07,9908.5
13,2025-06-25,2025-07-25,3,33.3,0.83,-41.83,40.22,-13.94,-0.42,-0.93,50.0,0.75,True,9908.5,9866.67
14,2025-07-25,2025-08-24,1,100.0,1.0,130.06,17.94,130.06,1.32,-0.06,50.0,0.75,False,9866.67,9996.73
15,2025-08-24,2025-09-23,1,100.0,1.0,172.6,27.33,172.6,1.73,-0.09,55.6,1.0,False,9996.73,10169.33
16,2025-09-23,2025-10-23,3,66.7,3.0,230.96,73.12,76.99,2.27,-1.39,60.0,1.0,False,10169.33,10400.29
17,2025-10-23,2025-11-22,2,50.0,1.7,72.05,29.48,36.02,0.69,-1.22,80.0,1.0,False,10400.29,10472.34
18,2025-11-22,2025-12-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,1.0,True,10472.34,10472.34
19,2025-12-22,2026-01-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,True,10472.34,10472.34
20,2026-01-21,2026-02-20,2,50.0,1.67,51.45,25.65,25.73,0.49,-0.94,50.0,0.75,False,10472.34,10523.79
21,2026-02-20,2026-03-22,1,100.0,1.0,143.23,14.63,143.23,1.36,-0.05,50.0,0.75,False,10523.79,10667.02
