window,test_start,test_end,trades,win_rate,profit_factor,net_pnl,total_fees,expectancy,return_pct,max_dd_pct,train_wr,adaptive_mult,degraded,capital_start,capital_end
1,2024-06-30,2024-07-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10000.0,10000.0
2,2024-07-30,2024-08-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10000.0,10000.0
3,2024-08-29,2024-09-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10000.0,10000.0
4,2024-09-28,2024-10-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10000.0,10000.0
5,2024-10-28,2024-11-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10000.0,10000.0
6,2024-11-27,2024-12-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10000.0,10000.0
7,2024-12-27,2025-01-26,2,100.0,1.0,230.84,19.11,115.42,2.31,-0.06,0.0,0.5,False,10000.0,10230.84
8,2025-01-26,2025-02-25,1,100.0,1.0,233.83,21.94,233.83,2.29,-0.07,100.0,1.0,False,10230.84,10464.67
9,2025-02-25,2025-03-27,1,0.0,0.0,-122.33,17.68,-122.33,-1.17,-1.17,100.0,1.0,True,10464.67,10342.35
10,2025-03-27,2025-04-26,1,0.0,0.0,-117.87,14.45,-117.87,-1.14,-1.14,75.0,1.0,True,10342.35,10224.47
11,2025-04-26,2025-05-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.5,True,10224.47,10224.47
12,2025-05-26,2025-06-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10224.47,10224.47
13,2025-06-25,2025-07-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10224.47,10224.47
14,2025-07-25,2025-08-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10224.47,10224.47
15,2025-08-24,2025-09-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10224.47,10224.47
16,2025-09-23,2025-10-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10224.47,10224.47
17,2025-10-23,2025-11-22,1,0.0,0.0,-55.54,4.42,-55.54,-0.54,-0.54,0.0,0.5,True,10224.47,10168.93
18,2025-11-22,2025-12-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10168.93,10168.93
19,2025-12-22,2026-01-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10168.93,10168.93
20,2026-01-21,2026-02-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10168.93,10168.93
21,2026-02-20,2026-03-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,10168.93,10168.93
