window,test_start,test_end,trades,win_rate,profit_factor,net_pnl,total_fees,expectancy,return_pct,max_dd_pct,train_wr,adaptive_mult,degraded,capital_start,capital_end
1,2024-06-30,2024-07-30,6,16.7,0.07,-115.32,14.47,-19.22,-1.15,-1.15,26.7,0.75,True,10000.0,9884.68
2,2024-07-30,2024-08-29,9,55.6,1.12,15.7,28.23,1.74,0.16,-1.21,55.3,1.0,False,9884.68,9900.39
3,2024-08-29,2024-09-28,8,25.0,0.27,-141.26,23.0,-17.66,-1.43,-1.64,55.9,1.0,True,9900.39,9759.13
4,2024-09-28,2024-10-28,12,58.3,0.68,-39.19,28.0,-3.27,-0.4,-0.7,47.1,0.75,False,9759.13,9719.93
5,2024-10-28,2024-11-27,7,71.4,2.31,83.93,18.15,11.99,0.86,-0.36,51.4,1.0,False,9719.93,9803.86
6,2024-11-27,2024-12-27,4,25.0,0.1,-86.35,12.97,-21.59,-0.88,-1.01,55.0,1.0,True,9803.86,9717.51
7,2024-12-27,2025-01-26,9,55.6,0.67,-31.34,20.25,-3.48,-0.32,-1.01,54.8,0.75,False,9717.51,9686.17
8,2025-01-26,2025-02-25,7,42.9,0.76,-29.75,14.86,-4.25,-0.31,-0.65,56.1,1.0,False,9686.17,9656.43
9,2025-02-25,2025-03-27,12,66.7,1.86,82.87,25.79,6.91,0.86,-0.41,45.2,0.75,False,9656.43,9739.3
10,2025-03-27,2025-04-26,15,53.3,1.02,4.67,23.82,0.31,0.05,-1.36,53.5,1.0,False,9739.3,9743.97
11,2025-04-26,2025-05-26,5,60.0,0.61,-23.99,9.27,-4.8,-0.25,-0.52,55.1,1.0,False,9743.97,9719.98
12,2025-05-26,2025-06-25,7,0.0,0.0,-219.43,17.3,-31.35,-2.26,-2.26,65.2,1.0,True,9719.98,9500.55
13,2025-06-25,2025-07-25,13,61.5,1.11,18.04,38.41,1.39,0.19,-1.31,53.8,1.0,False,9500.55,9518.59
14,2025-07-25,2025-08-24,4,50.0,0.8,-12.77,12.58,-3.19,-0.13,-0.36,51.5,1.0,False,9518.59,9505.82
15,2025-08-24,2025-09-23,13,46.2,0.69,-50.84,29.24,-3.91,-0.53,-1.26,36.4,0.75,False,9505.82,9454.98
16,2025-09-23,2025-10-23,10,30.0,0.31,-109.28,13.8,-10.93,-1.16,-1.48,47.5,0.75,True,9454.98,9345.7
17,2025-10-23,2025-11-22,10,60.0,1.31,27.25,14.62,2.72,0.29,-0.48,43.6,0.75,False,9345.7,9372.94
18,2025-11-22,2025-12-22,8,37.5,0.4,-89.55,19.19,-11.19,-0.96,-1.28,52.3,1.0,False,9372.94,9283.4
19,2025-12-22,2026-01-21,4,50.0,0.84,-7.22,7.12,-1.8,-0.08,-0.4,46.5,0.75,False,9283.4,9276.18
20,2026-01-21,2026-02-20,13,30.8,0.4,-157.17,18.69,-12.09,-1.69,-2.25,51.3,1.0,True,9276.18,9119.01
21,2026-02-20,2026-03-22,7,42.9,0.75,-21.58,11.13,-3.08,-0.24,-0.48,48.8,0.75,False,9119.01,9097.42
