period,trades,pnl,end_equity,max_dd_amount,max_dd_pct
2021-01,1,-33.01081303586369,9966.989186964136,33.010813035863976,-0.3301081303586417
2021-02,15,-72.00919815039967,9894.979988813737,328.9864381974021,-3.2475653403433613
2021-03,26,-1187.9275302727985,8707.052458540938,1187.9275302727983,-12.005355560251251
2021-04,25,-117.41203022680057,8589.640428314138,318.75276229982046,-3.660857262748529
2021-05,17,-76.94077916096133,8512.699649153177,280.80799921813195,-3.2691473125289527
2021-06,16,346.8800123427432,8859.57966149592,258.8010341721547,-3.0401757942663865
2021-07,35,-280.798713019441,8578.780948476478,509.90555594052057,-5.696329161791036
2021-08,33,1182.513837375742,9761.294785852222,198.86861021229743,-2.018419336775845
2021-09,38,-230.374770549902,9530.92001530232,388.5360580519409,-3.946751951498706
2021-10,39,4011.1913819440742,13542.111397246394,93.61146865506817,-0.9114072235707038
2021-11,27,103.59665837865987,13645.708055625055,614.7651244688732,-4.476419868180159
2021-12,28,2247.628292868834,15893.336348493885,293.7825944094184,-1.9585942325020755
2022-01,32,1424.6513347188225,17317.987683212705,512.7525367750386,-3.2262108189991756
2022-02,35,482.2661656596804,17800.253848872388,401.64798301883275,-2.308034917683577
2022-03,31,54.236168944612984,17854.490017817,485.1971839633261,-2.6456131918990766
2022-04,25,4087.502042094623,21941.992059911623,525.8688913065598,-2.4028996246563294
2022-05,29,6967.998781292613,28909.99084120424,295.54311495604634,-1.252171816679315
2022-06,21,1052.739583045616,29962.730424249858,1074.44431354084,-3.467133971258163
2022-07,39,1791.299548824311,31754.02997307416,1433.2076636179954,-4.590852820559077
2022-08,33,8183.342096965956,39937.372070040125,438.9249292344648,-1.3680097021523285
2022-09,31,2699.54769800038,42636.91976804052,1279.7263889608148,-2.954312442295026
2022-10,40,16224.25625646117,58861.17602450166,756.0506531553256,-1.4006816380921605
2022-11,45,20994.32269116326,79855.49871566489,1866.60183597359,-2.471426431237611
2022-12,38,16786.757421653376,96642.25613731827,4136.065636044936,-4.953364934966109
2023-01,37,19147.14049259566,115789.39662991393,3440.8611010410386,-2.967094830379746
2023-02,42,24011.901926647384,139801.29855656135,1983.6162168362935,-1.4005987674887588
2023-03,38,5087.373251201698,144888.671807763,7427.538012369478,-5.1489314413432075
2023-04,47,29083.284643457082,173971.95645122,6914.650754891103,-4.701867999630116
2023-05,36,21479.909671834266,195451.8661230543,9186.967491792602,-5.195613320687231
2023-06,57,34974.375391291476,230426.24151434578,10154.36626216094,-4.495873335364964
2023-07,47,23855.227978202256,254281.46949254806,7201.860456988885,-2.8327123018591527
2023-08,42,-5702.039616607484,248579.42987594058,19434.301006392314,-7.251233338833907
2023-09,43,29583.979043466235,278163.4089194068,6383.987460260483,-2.4809482568421193
2023-10,52,20723.034842488752,298886.4437618955,20423.54199298343,-6.6077081516038305
2023-11,29,11236.623260434037,310123.06702232966,11818.49317946675,-3.744010669547715
2023-12,30,19551.927873726832,329674.9948960566,11477.110864736373,-3.3642210236813908
2024-01,35,72058.97774624251,401733.9726422992,7130.985351123672,-1.8884260963214827
2024-02,31,32731.111817871235,434465.0844601701,15043.47670479765,-3.5601779274027856
2024-03,38,98175.45334946335,532640.5378096334,11642.34497174446,-2.139024639586329
2024-04,39,83492.44095898992,616132.9787686233,16980.452784694382,-3.129913433667497
2024-05,34,-1879.3242816030659,614253.6544870205,23689.973526055343,-3.7134901088109573
2024-06,33,112904.46926544138,727158.1237524614,12037.277730387985,-1.7584727308951442
2024-07,33,78050.90997584435,805209.0337283057,25774.223790187272,-3.1972829528291724
2024-08,45,70430.71035098535,875639.7440792909,33953.06667160371,-3.793041058987945
2024-09,32,62967.419781523655,938607.1638608145,44193.37614288542,-4.954818754310941
2024-10,48,179511.1410364126,1118118.3048972269,15189.603202812956,-1.4984646003942559
2024-11,38,19576.000167778086,1137694.3050650049,53108.099489771295,-4.478073113899683
2024-12,32,211129.82491793527,1348824.12998294,38138.74824034888,-2.9165672338539506
2025-01,32,186981.33279303042,1535805.4627759708,35148.46301845112,-2.3070250299408457
2025-02,33,93348.25167116582,1629153.714447137,31063.21279894421,-1.9296012808675544
2025-03,46,118738.87824373563,1747892.5926908725,52831.88456475129,-3.242903606715841
2025-04,24,100126.27216316135,1848018.8648540343,43366.49950577039,-2.480188164682795
2025-05,34,174876.8037292946,2022895.6685833293,53121.46275283233,-2.692353247188106
2025-06,40,62724.815463635765,2085620.4840469658,72831.67956928303,-3.4015306380208554
2025-07,32,192728.14562043987,2278348.629667404,72706.29303210205,-3.486074939723538
2025-08,41,400540.0513824662,2678888.68104987,122731.65825971542,-4.5794701947975085
2025-09,42,126153.23312048223,2805041.914170352,80969.85407281294,-2.918264386894709
2025-10,47,398145.1237583047,3203187.0379286567,34613.40461512422,-1.2013925253153257
2025-11,20,383961.896880172,3587148.9348088284,179113.5158819384,-5.591728293136522
2025-12,59,288122.5573739878,3875271.4921828164,84241.03336409526,-2.3484119253215474
