period,trades,pnl,end_equity,max_dd_amount,max_dd_pct
2021-01,1,-19.80648782151821,9980.19351217848,19.806487821519113,-0.19806487821518726
2021-02,11,-41.155517589511064,9939.03799458897,224.96722977288118,-2.2321989005417597
2021-03,15,-519.2746310301301,9419.76336355884,519.27463103013,-5.224596498301293
2021-04,16,-55.515779840605745,9364.247583718236,77.12132713224128,-0.8187183069862658
2021-05,9,-3.994637537509988,9360.252946180724,28.28070768674297,-0.30133015181795786
2021-06,11,105.34267037274199,9465.595616553466,30.095375392187634,-0.31964881036410375
2021-07,19,123.81587863439142,9589.411495187858,63.403384517319864,-0.6568382933627381
2021-08,18,37.007321335637684,9626.418816523495,145.3370431214007,-1.511579395794549
2021-09,18,73.74157686560771,9700.160393389104,153.98259339036304,-1.5855350777712385
2021-10,28,3719.837677920615,13419.998071309717,153.24381380873456,-1.2607434465148226
2021-11,18,-167.38132591241364,13252.616745397303,499.01987949616523,-3.6929354251707736
2021-12,19,1141.3665612160598,14393.983306613361,374.1847936559534,-2.5461725022527193
2022-01,20,879.3136022802032,15273.296908893564,238.97701889871496,-1.5523356997576565
2022-02,19,285.83600867659135,15559.132917570158,212.37668850024966,-1.3869974398597718
2022-03,14,-54.297230110166055,15504.83568745999,160.020424482429,-1.0284662090759955
2022-04,18,3327.8907543679516,18832.72644182794,167.1910768856833,-0.8923372541824848
2022-05,16,5183.957798841771,24016.684240669714,138.18611619447984,-0.6608647409721446
2022-06,10,927.7105890444856,24944.394829714198,639.5503681392547,-2.5022933286520943
2022-07,18,245.90089387585695,25190.295723590054,690.6786645259817,-2.7374286688611082
2022-08,23,4876.80795776889,30067.10368135895,209.73785382824644,-0.8204701275193016
2022-09,16,978.8398579369937,31045.943539295942,706.3138160276758,-2.2516015193218997
2022-10,22,4720.686659431929,35766.63019872787,589.09950974807,-1.8698366803943434
2022-11,30,10913.907059106023,46680.537257833916,773.9898646751608,-1.7102052105098187
2022-12,23,5890.8655588323845,52571.40281666629,1559.787409028053,-3.326554836120321
2023-01,25,8086.08719330115,60657.49000996745,751.5168348966108,-1.342621545353484
2023-02,17,5790.239345470191,66447.72935543762,383.6947624281456,-0.5747646158662856
2023-03,25,45.28939723212636,66493.01875266974,2739.6277974556724,-4.06746097220354
2023-04,30,14385.773682276218,80878.79243494596,1850.9510140761631,-2.7693671686917276
2023-05,23,3349.3625800080044,84228.15501495395,3061.6722911666584,-3.5074789189690314
2023-06,30,5960.039228883431,90188.19424383737,3504.856648217421,-3.8038664975132197
2023-07,27,393.6981301269377,90581.8923739643,2758.437078308707,-2.96482975939536
2023-08,24,4098.591960417219,94680.48433438153,1945.6405949084292,-2.07823128499387
2023-09,26,209.342286028803,94889.82662041033,3457.4374558826385,-3.6068945539400987
2023-10,32,11351.794512902592,106241.62113331293,2296.277054033446,-2.1542496778102493
2023-11,19,1073.1517139262369,107314.77284723913,3519.37330111122,-3.183428012601075
2023-12,16,2410.8960180507725,109725.6688652899,1070.431020203163,-0.9689581229916033
2024-01,21,10405.783396462819,120131.45226175271,1100.0298977232742,-0.9807166796069522
2024-02,19,1290.2743378426035,121421.7265995953,3671.948545372521,-2.935359074803101
2024-03,22,19147.87602138456,140569.60262097986,1613.0103153782547,-1.1344638293433573
2024-04,22,11691.640981519991,152261.24360249986,1700.441728488513,-1.1104211028752808
2024-05,15,1390.1760679058243,153651.41967040568,2093.1164759427193,-1.351576560581691
2024-06,21,12789.480249696322,166440.899920102,1381.1138198963017,-0.8432359237144027
2024-07,19,13999.462714580684,180440.36263468265,1083.6457011957245,-0.6002213482280583
2024-08,26,2776.9686986255406,183217.33133330822,7796.528521668166,-4.114866949398566
2024-09,15,1736.5079423781808,184953.8392756864,2012.1836845602957,-1.0943848061722217
2024-10,26,23661.400311362868,208615.23958704923,2981.62357503589,-1.5958661144312658
2024-11,17,7048.214911376289,215663.45449842553,2281.535817578202,-1.050418119221852
2024-12,17,32487.599193846883,248151.05369227246,4473.828756339062,-1.826279952928922
2025-01,22,27322.11580824345,275473.1695005159,4732.733913318836,-1.765656750339728
2025-02,23,8084.650977807143,283557.8204783231,3891.552525931911,-1.3882621239470039
2025-03,24,6456.521614910169,290014.34209323325,4246.296241830627,-1.4975063056514193
2025-04,16,515.7525546478846,290530.0946478813,5598.952414866828,-1.908434679760762
2025-05,17,26780.38989665229,317310.48454453354,3745.937261293817,-1.2877156722216232
2025-06,21,9067.028147739567,326377.5126922732,4484.847219983407,-1.3555023971819513
2025-07,18,7075.329532837419,333452.8422251107,2881.0657300133025,-0.8827402679331464
2025-08,22,45721.05011455044,379173.8923396611,6279.961993255012,-1.6518407004500468
2025-09,19,-4798.0976500956995,374375.7946895653,8509.29459406872,-2.2402440021450754
2025-10,28,1423.5504997934252,375799.3451893587,6858.299199263391,-1.8195002792118609
2025-11,11,3983.754449393059,379783.0996387517,8574.265016373945,-2.281607226338711
2025-12,33,22922.665184528232,402705.7648232799,5408.573493187258,-1.3868262648547347
2026-01,31,5743.424246899455,408449.1890701791,9416.737519776216,-2.261088077374662
2026-02,28,21314.596546860936,429763.7856170401,9069.479449112725,-2.083209590040036
2026-03,28,73436.88769867652,503200.6733157167,10613.192198764882,-2.1003899935731263
