TOP_CLOSEST_TO_696138_48
backtest_artifacts/py_12m_2022_disable_ftmo/phantom_p2_ftmo_v2_trades_US100_P2_FTMO_V2B.csv|rows=367|sum_net=127837.79|final_10k=137837.79|qty=(0.4792512723288771,3.776929422298109,33.32872450514538)|conf=(1.0,1.0,1.5)
_docs_archive/backtest_artifacts/phantom-v2-validate-X1DhJD/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-3W7a6I/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-ZIL3uq/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pVGATA/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-QEGiWj/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pTMbwH/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-slttxc/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-5Z2Y8x/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-Qac3N9/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-LsKCeT/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-mVHgz5/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-MuFd20/phantom_v5_1_trades_B.csv|rows=16893|sum_net=81954.91|final_10k=91954.91|qty=(0.6051120992369577,9.361553696041346,36.46676586832084)|conf=(None,None,None)
