entry_time,direction,score,source
2025-12-01 08:10:00,long,6,MT5
2025-12-01 08:30:00,long,6,MT5
2025-12-01 08:50:00,long,6,MT5
2025-12-01 11:40:00,long,5,MT5
2025-12-01 12:00:00,long,5,MT5
2025-12-01 12:20:00,long,7,MT5
2025-12-01 15:45:00,long,5,MT5
2025-12-09 08:05:00,short,7,MT5
2025-12-09 08:25:00,short,7,MT5
2025-12-09 08:50:00,short,4,MT5
2025-12-10 12:30:00,short,8,MT5
2025-12-10 12:50:00,short,6,MT5
2025-12-10 13:10:00,short,7,MT5
2025-12-11 11:55:00,long,5,MT5
2025-12-11 12:15:00,long,5,MT5
2025-12-11 13:10:00,long,5,MT5
2025-12-17 10:10:00,short,5,MT5
2025-12-17 10:55:00,short,5,MT5
2025-12-17 15:20:00,short,6,MT5
2025-12-19 09:05:00,long,8,MT5
2025-12-19 09:25:00,long,8,MT5
2025-12-19 09:45:00,long,8,MT5
2025-12-29 08:20:00,long,6,MT5
2025-12-29 10:30:00,short,6,MT5
2025-12-29 10:50:00,short,7,MT5
2025-12-29 11:10:00,short,6,MT5
2025-12-29 16:00:00,short,8,MT5
2025-12-30 08:10:00,short,7,MT5
2025-12-30 08:30:00,short,7,MT5
2025-12-30 08:50:00,short,7,MT5
2025-12-30 12:40:00,short,7,MT5
2025-12-30 13:00:00,short,7,MT5
2025-12-30 13:20:00,short,8,MT5
2026-01-02 08:05:00,long,6,MT5
2026-01-02 08:25:00,long,6,MT5
2026-01-02 08:45:00,long,6,MT5
2026-01-06 10:05:00,long,6,MT5
2026-01-06 11:45:00,long,4,MT5
2026-01-06 12:40:00,long,6,MT5
2026-01-08 08:05:00,short,6,MT5
2026-01-08 08:25:00,short,7,MT5
2026-01-08 08:45:00,short,7,MT5
2026-01-08 11:40:00,long,5,MT5
2026-01-08 12:05:00,long,5,MT5
2026-01-08 14:05:00,long,5,MT5
2026-01-12 08:05:00,short,7,MT5
2026-01-12 08:25:00,short,7,MT5
2026-01-12 08:45:00,short,6,MT5
2026-01-14 12:05:00,short,6,MT5
2026-01-14 14:25:00,short,6,MT5
2026-01-14 14:45:00,short,6,MT5
2026-01-15 08:15:00,long,5,MT5
2026-01-15 08:35:00,long,6,MT5
2026-01-15 08:55:00,long,6,MT5
2026-01-16 08:05:00,long,9,MT5
2026-01-16 09:35:00,long,7,MT5
2026-01-16 10:35:00,long,7,MT5
2026-01-22 10:10:00,long,8,MT5
2026-01-22 10:30:00,long,8,MT5
2026-01-22 10:50:00,long,8,MT5
2026-01-30 08:05:00,short,8,MT5
2026-01-30 08:25:00,short,8,MT5
2026-01-30 08:45:00,short,8,MT5
2026-01-30 14:25:00,long,5,MT5
2026-01-30 14:55:00,short,6,MT5
2026-01-30 15:15:00,long,5,MT5
