ts,dir,price,volume,profit,comment,source
2025-12-01 15:45:00,long,25088.85,0.0,P2_B|LONG|S=5|ATR=76.93643|REG=,,mt5_old_report
2025-12-01 16:15:00,long,25129.71,0.0,P2_B|LONG|S=6|ATR=77.55786|REG=,,mt5_old_report
2025-12-03 16:20:00,short,25591.78,0.0,P2_B|SHORT|S=6|ATR=126.42071|RE,,mt5_old_report
2025-12-04 18:05:00,short,25648.16,0.0,P2_B|SHORT|S=6|ATR=105.74286|RE,,mt5_old_report
2025-12-08 18:00:00,short,25790.03,0.0,P2_B|SHORT|S=6|ATR=110.25000|RE,,mt5_old_report
2025-12-08 18:30:00,short,25793.01,0.0,P2_B|SHORT|S=6|ATR=111.84286|RE,,mt5_old_report
2025-12-08 19:00:00,short,25770.71,0.0,P2_B|SHORT|S=6|ATR=111.84286|RE,,mt5_old_report
2025-12-09 15:05:00,short,25775.67,0.0,P2_B|SHORT|S=7|ATR=101.21500|RE,,mt5_old_report
2025-12-09 15:35:00,short,25740.47,0.0,P2_B|SHORT|S=8|ATR=101.21500|RE,,mt5_old_report
2025-12-09 16:40:00,short,25761.52,0.0,P2_B|SHORT|S=5|ATR=103.64357|RE,,mt5_old_report
2025-12-10 17:10:00,short,25743.03,0.0,P2_B|SHORT|S=8|ATR=96.52143|REG,,mt5_old_report
2025-12-10 17:50:00,short,25739.58,0.0,P2_B|SHORT|S=8|ATR=96.62143|REG,,mt5_old_report
2025-12-10 19:25:00,short,25753.15,0.0,P2_B|SHORT|S=6|ATR=99.20000|REG,,mt5_old_report
2025-12-10 19:55:00,short,25786.45,0.0,P2_B|SHORT|S=3|ATR=99.20000|REG,,mt5_old_report
2025-12-10 20:25:00,short,25737.88,0.0,P2_B|SHORT|S=7|ATR=97.82143|REG,,mt5_old_report
2025-12-11 15:35:00,short,25812.13,0.0,P2_B|SHORT|S=4|ATR=127.85000|RE,,mt5_old_report
2025-12-11 16:05:00,short,25811.47,0.0,P2_B|SHORT|S=3|ATR=124.27857|RE,,mt5_old_report
2025-12-11 17:25:00,short,25811.88,0.0,P2_B|SHORT|S=4|ATR=143.88571|RE,,mt5_old_report
2025-12-11 19:20:00,long,25343.32,0.0,P2_B|LONG|S=4|ATR=143.88571|REG,,mt5_old_report
2025-12-11 20:00:00,long,25351.92,0.0,P2_B|LONG|S=5|ATR=143.88571|REG,,mt5_old_report
2025-12-17 15:20:00,short,25411.75,0.0,P2_B|SHORT|S=6|ATR=160.06500|RE,,mt5_old_report
