entry_time,direction,score,source
2025-12-05 20:00:00,short,6,Python
2025-12-05 20:20:00,short,6,Python
2025-12-05 20:50:00,short,6,Python
2025-12-09 13:00:00,short,7,Python
2025-12-09 13:20:00,short,7,Python
2025-12-09 13:40:00,short,5,Python
2025-12-10 17:05:00,short,6,Python
2025-12-10 17:25:00,short,7,Python
2025-12-10 17:45:00,short,7,Python
2025-12-11 16:00:00,long,4,Python
2025-12-11 16:20:00,long,5,Python
2025-12-11 16:40:00,long,5,Python
2025-12-12 15:00:00,short,5,Python
2025-12-12 15:20:00,short,6,Python
2025-12-12 15:40:00,short,6,Python
2025-12-17 13:00:00,long,6,Python
2025-12-17 13:30:00,long,7,Python
2025-12-17 14:00:00,long,7,Python
2025-12-18 17:05:00,long,6,Python
2025-12-18 17:35:00,long,5,Python
2025-12-18 17:55:00,long,6,Python
2025-12-19 14:00:00,long,8,Python
2025-12-19 14:20:00,long,8,Python
2025-12-19 14:40:00,long,8,Python
2025-12-29 13:00:00,short,7,Python
2025-12-29 13:20:00,long,4,Python
2025-12-29 13:40:00,short,7,Python
2025-12-29 16:20:00,short,7,Python
2025-12-29 20:45:00,short,8,Python
2025-12-30 13:05:00,short,7,Python
2025-12-30 13:25:00,short,7,Python
2025-12-30 13:45:00,short,7,Python
2025-12-30 17:35:00,short,7,Python
2025-12-30 17:55:00,short,7,Python
2025-12-30 18:15:00,short,7,Python
2026-01-02 13:00:00,long,8,Python
2026-01-02 13:20:00,long,8,Python
2026-01-02 13:40:00,long,8,Python
2026-01-06 15:00:00,long,4,Python
2026-01-06 16:40:00,long,5,Python
2026-01-06 17:05:00,long,4,Python
2026-01-08 14:05:00,long,5,Python
2026-01-08 14:25:00,long,6,Python
2026-01-08 14:45:00,long,6,Python
2026-01-09 13:00:00,long,6,Python
2026-01-09 13:20:00,short,4,Python
2026-01-09 13:40:00,long,6,Python
2026-01-09 19:25:00,long,6,Python
2026-01-12 13:00:00,short,6,Python
2026-01-12 13:20:00,short,6,Python
2026-01-12 13:40:00,short,5,Python
2026-01-12 20:40:00,long,5,Python
2026-01-14 13:35:00,short,6,Python
2026-01-14 15:45:00,short,6,Python
2026-01-14 16:45:00,short,6,Python
2026-01-15 13:00:00,long,8,Python
2026-01-15 13:20:00,long,8,Python
2026-01-15 13:40:00,long,8,Python
2026-01-16 13:00:00,long,8,Python
2026-01-16 13:25:00,long,9,Python
2026-01-16 14:30:00,long,7,Python
2026-01-22 15:00:00,long,8,Python
2026-01-22 15:20:00,long,8,Python
2026-01-22 15:40:00,long,8,Python
2026-01-30 13:00:00,short,8,Python
2026-01-30 13:20:00,short,8,Python
2026-01-30 13:40:00,short,8,Python
2026-01-30 19:30:00,long,5,Python
2026-01-30 19:50:00,short,6,Python
2026-01-30 20:20:00,short,7,Python
