source,zone_key,ts,price,zone_time,zone_price,zone_dir,score,confidence_mult,session_mult,regime_mult,qty,matched_mt5_zone_key
mt5_only,2025-11-28 09:00|25223.95|long,2025-12-01 08:10:00,,2025-11-28 09:00:00,25223.95,long,6.0,1.5,1.0,1.0,,
mt5_only,2025-11-28 09:00|25223.95|long,2025-12-01 08:30:00,,2025-11-28 09:00:00,25223.95,long,6.0,1.0,1.0,1.0,,
mt5_only,2025-11-28 09:00|25223.95|long,2025-12-01 08:50:00,,2025-11-28 09:00:00,25223.95,long,6.0,1.0,1.0,1.0,,
mt5_only,2025-11-28 09:00|25223.95|long,2025-12-01 11:40:00,,2025-11-28 09:00:00,25223.95,long,5.0,1.5,1.2,1.0,,
mt5_only,2025-11-28 09:00|25223.95|long,2025-12-01 12:00:00,,2025-11-28 09:00:00,25223.95,long,5.0,1.0,1.2,1.0,,
mt5_only,2025-11-28 09:00|25223.95|long,2025-12-01 12:20:00,,2025-11-28 09:00:00,25223.95,long,7.0,1.0,1.2,1.0,,
mt5_only,2025-11-28 09:00|25223.95|long,2025-12-01 15:45:00,,2025-11-28 09:00:00,25223.95,long,5.0,1.5,1.0,1.0,,
mt5_only,2025-12-17 09:00|25176.95|short,2025-12-17 10:10:00,,2025-12-17 09:00:00,25176.95,short,5.0,1.5,1.2,0.5,,
mt5_only,2025-12-17 09:00|25176.95|short,2025-12-17 10:55:00,,2025-12-17 09:00:00,25176.95,short,5.0,1.0,1.2,0.5,,
mt5_only,2025-12-17 09:00|25176.95|short,2025-12-17 15:20:00,,2025-12-17 09:00:00,25176.95,short,6.0,1.5,1.0,0.5,,
mt5_only,2026-01-12 21:00|25464.15|long,2026-01-15 08:15:00,,2026-01-12 21:00:00,25464.15,long,5.0,1.5,1.0,1.0,,
python_only,2025-12-04 09:00|25638.85|short,2025-12-09 13:40:00,25646.55,2025-12-04 09:00:00,25638.85,short,5.0,1.0,1.0,0.5,0.4903692208054381,
python_only,2025-12-04 09:00|25638.85|short,2025-12-12 15:00:00,25650.55,2025-12-04 09:00:00,25638.85,short,5.0,1.5,1.2,0.5,0.5376668157897976,
python_only,2025-12-04 09:00|25638.85|short,2025-12-12 15:20:00,25650.45,2025-12-04 09:00:00,25638.85,short,6.0,1.0,1.2,0.5,0.3584445438598651,
python_only,2025-12-04 09:00|25638.85|short,2025-12-12 15:40:00,25644.45,2025-12-04 09:00:00,25638.85,short,6.0,1.0,1.2,0.5,0.3584445438598651,
python_only,2025-12-05 05:00|25686.55|short,2025-12-05 20:00:00,25665.15,2025-12-05 05:00:00,25686.55,short,6.0,1.5,1.0,0.5,0.6861173738242834,
python_only,2025-12-05 05:00|25686.55|short,2025-12-10 17:05:00,25674.65,2025-12-05 05:00:00,25686.55,short,6.0,1.5,1.2,0.5,0.9447606917504928,
python_only,2025-12-16 21:00|24809.25|long,2025-12-18 17:05:00,24846.45,2025-12-16 21:00:00,24809.25,long,6.0,1.5,1.2,1.0,1.0027931006361224,
python_only,2025-12-16 21:00|24809.25|long,2025-12-18 17:35:00,24841.55,2025-12-16 21:00:00,24809.25,long,5.0,1.0,1.2,1.0,0.668528733757415,
python_only,2025-12-16 21:00|24809.25|long,2025-12-18 17:55:00,24844.65,2025-12-16 21:00:00,24809.25,long,6.0,1.0,1.2,1.0,0.668528733757415,
python_only,2025-12-24 13:00|25594.55|short,2025-12-29 13:00:00,25599.15,2025-12-24 13:00:00,25594.55,short,7.0,1.5,1.0,0.5,1.2161860454455895,
python_only,2025-12-24 13:00|25594.55|short,2025-12-29 13:40:00,25607.65,2025-12-24 13:00:00,25594.55,short,7.0,1.0,1.0,0.5,0.8107906969637264,
python_only,2026-01-12 05:00|25442.20|long,2026-01-15 13:00:00,25464.65,2026-01-12 05:00:00,25442.2,long,8.0,1.5,1.0,1.0,1.1721264654878714,
