Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2025.12.01 08:10:00,2,US100.cash,buy,in,2.75,25198.05,2,0.00,0.00,0.00,10 000.00,P2_B|LONG|S=6|ATR=64.71500|REG=
2025.12.01 08:30:00,3,US100.cash,buy,in,1.82,25212.45,3,0.00,0.00,0.00,10 000.00,P2_B|LONG|S=6|ATR=65.35786|REG=
2025.12.01 08:50:00,4,US100.cash,buy,in,1.81,25213.55,4,0.00,0.00,0.00,10 000.00,P2_B|LONG|S=6|ATR=65.53643|REG=
2025.12.01 11:39:35,5,US100.cash,sell,out,2.75,25236.93,5,0.00,0.00,80.82,10 080.82,sl 25236.98
2025.12.01 11:39:36,6,US100.cash,sell,out,1.82,25236.46,6,0.00,0.00,33.03,10 113.85,sl 25236.46
2025.12.01 11:39:37,7,US100.cash,sell,out,1.81,25236.22,7,0.00,0.00,31.01,10 144.86,sl 25236.32
2025.12.01 11:40:00,8,US100.cash,buy,in,3.07,25243.85,8,0.00,0.00,0.00,10 144.86,P2_B|LONG|S=5|ATR=70.69357|REG=
2025.12.01 12:00:00,9,US100.cash,buy,in,2.04,25232.25,9,0.00,0.00,0.00,10 144.86,P2_B|LONG|S=5|ATR=70.69357|REG=
2025.12.01 12:20:00,10,US100.cash,buy,in,2.06,25259.95,10,0.00,0.00,0.00,10 144.86,P2_B|LONG|S=7|ATR=70.87929|REG=
2025.12.01 14:08:03,11,US100.cash,sell,out,3.07,25220.56,11,0.00,0.00,-54.02,10 090.84,sl 25220.80
2025.12.01 14:08:03,12,US100.cash,sell,out,2.04,25220.56,12,0.00,0.00,-18.02,10 072.82,sl 25220.80
2025.12.01 14:08:03,13,US100.cash,sell,out,2.06,25220.56,13,0.00,0.00,-61.30,10 011.52,sl 25220.65
2025.12.01 15:45:00,14,US100.cash,buy,in,2.34,25205.75,14,0.00,0.00,0.00,10 011.52,P2_B|LONG|S=5|ATR=76.93643|REG=
2025.12.01 16:32:15,15,US100.cash,sell,out,2.34,25184.33,15,0.00,0.00,-37.82,9 973.70,sl 25184.50
2025.12.09 08:05:00,16,US100.cash,sell,in,0.96,25621.85,16,0.00,0.00,0.00,9 973.70,P2_B|SHORT|S=7|ATR=94.12214|REG
2025.12.09 08:25:00,17,US100.cash,sell,in,0.63,25616.95,17,0.00,0.00,0.00,9 973.70,P2_B|SHORT|S=7|ATR=94.55786|REG
2025.12.09 08:50:00,18,US100.cash,sell,in,0.62,25639.85,18,0.00,0.00,0.00,9 973.70,P2_B|SHORT|S=4|ATR=96.22929|REG
2025.12.09 17:02:32,19,US100.cash,buy,out,0.96,25621.52,19,0.00,0.00,0.24,9 973.94,sl 25621.35
2025.12.09 17:02:37,20,US100.cash,buy,out,0.63,25621.82,20,0.00,0.00,-2.31,9 971.63,sl 25621.70
2025.12.09 17:02:38,21,US100.cash,buy,out,0.62,25623.08,21,0.00,0.00,7.82,9 979.45,sl 25623.03
2025.12.10 12:30:00,22,US100.cash,sell,in,1.19,25600.65,22,0.00,0.00,0.00,9 979.45,P2_B|SHORT|S=8|ATR=90.89286|REG
2025.12.10 12:50:00,23,US100.cash,sell,in,0.78,25623.35,23,0.00,0.00,0.00,9 979.45,P2_B|SHORT|S=6|ATR=92.07143|REG
2025.12.10 13:10:00,24,US100.cash,sell,in,0.65,25632.65,24,0.00,0.00,0.00,9 979.45,P2_B|SHORT|S=7|ATR=92.07143|REG
2025.12.10 15:25:12,25,US100.cash,buy,out,1.19,25674.82,25,0.00,0.00,-66.31,9 913.14,sl 25674.76
2025.12.10 15:25:14,26,US100.cash,buy,out,0.78,25675.75,26,0.00,0.00,-30.71,9 882.43,sl 25675.71
2025.12.10 15:25:14,27,US100.cash,buy,out,0.65,25675.75,27,0.00,0.00,-21.05,9 861.38,sl 25675.71
2025.12.11 11:55:00,28,US100.cash,buy,in,1.77,25581.95,28,0.00,0.00,0.00,9 861.38,P2_B|LONG|S=5|ATR=122.47143|REG
2025.12.11 12:15:00,29,US100.cash,buy,in,1.19,25583.85,29,0.00,0.00,0.00,9 861.38,P2_B|LONG|S=5|ATR=121.42857|REG
2025.12.11 13:10:00,30,US100.cash,buy,in,0.98,25581.65,30,0.00,0.00,0.00,9 861.38,P2_B|LONG|S=5|ATR=121.84286|REG
2025.12.11 16:30:40,31,US100.cash,sell,out,1.19,25570.70,31,0.00,0.00,-11.66,9 849.72,sl 25570.81
2025.12.11 16:30:40,32,US100.cash,sell,out,0.98,25570.29,32,0.00,0.00,-8.29,9 841.43,sl 25570.48
2025.12.11 16:30:40,33,US100.cash,sell,out,1.77,25569.88,33,0.00,0.00,-15.92,9 825.51,sl 25569.97
2025.12.17 10:10:00,34,US100.cash,sell,in,0.7,25144.75,34,0.00,0.00,0.00,9 825.51,P2_B|SHORT|S=5|ATR=154.07214|RE
