entry_time_utc,exit_time_utc,ticket,symbol,direction,volume,entry_price,exit_price,stop_price,tp_price,initial_risk,exit_reason,gross_profit,commission,swap,net_profit,r_value,score,confidence_mult,regime,broker_exit_reason,entry_comment,session_mult,regime_mult,zone_price,zone_time_utc,exit_comment,holding_minutes
2025-12-01 15:45:00,2025.12.01 16:32:15,472,US100.cash,long,1.42,25205.75,25184.33,25184.5,25358.06,21.25,close,-30.42,0.0,0.0,-30.42,-1.008,5,1.5,bull,sl,P2_B|LONG|S=5|ATR=76.93643|REG=bull|CONF=1.5,1.0,1.0,25223.95,2025.11.28 02:00:00,sl 25184.50,47.3
2025-12-01 16:15:00,2025.12.01 16:41:05,473,US100.cash,long,1.13,25247.55,25185.52,25185.9,25401.07,61.65,close,-70.09,0.0,0.0,-70.09,-1.006,6,1.0,bull,sl,P2_B|LONG|S=6|ATR=77.55786|REG=bull|CONF=1.0,1.2,1.0,25223.95,2025.11.28 02:00:00,sl 25185.90,26.1
2025-12-03 16:20:00,2025.12.03 17:03:25,476,US100.cash,short,0.52,25402.65,25516.29,25516.19,25151.82,113.54,close,-59.09,0.0,0.0,-59.09,-1.001,6,1.5,bull,sl,P2_B|SHORT|S=6|ATR=126.42071|REG=bull|CONF=1.5,1.2,0.5,25445.15,2025.12.01 22:00:00,sl 25516.19,43.4
2025-12-04 18:05:00,2025.12.04 18:51:41,478,US100.cash,short,0.61,25489.05,25587.74,25587.74,25279.53,98.69,stop,-60.2,0.0,0.0,-60.2,-1.0,6,1.5,bull,sl,P2_B|SHORT|S=6|ATR=105.74286|REG=bull|CONF=1.5,1.2,0.5,25472.96,2025.12.01 06:00:00,sl 25587.74,46.7
2025-12-08 18:00:00,2025.12.08 22:59:41,480,US100.cash,short,0.58,25624.55,25632.05,25632.05,25405.82,7.5,stop,-4.35,0.0,0.0,-4.35,-1.0,6,1.5,bull,sl,P2_B|SHORT|S=6|ATR=110.25000|REG=bull|CONF=1.5,1.2,0.5,25619.95,2025.12.02 22:00:00,sl 25632.05,299.7
2025-12-08 18:30:00,2025.12.08 22:59:41,481,US100.cash,short,0.57,25625.05,25633.58,25633.32,25403.31,8.27,close,-4.86,0.0,0.0,-4.86,-1.031,6,1.5,bull,sl,P2_B|SHORT|S=6|ATR=111.84286|REG=bull|CONF=1.5,1.2,0.5,25619.95,2025.12.02 22:00:00,sl 25633.32,269.7
2025-12-08 19:00:00,2025.12.08 22:59:41,482,US100.cash,short,0.38,25603.35,25633.58,25633.32,25381.02,29.97,close,-11.49,0.0,0.0,-11.49,-1.009,6,1.0,bull,sl,P2_B|SHORT|S=6|ATR=111.84286|REG=bull|CONF=1.0,1.2,0.5,25619.95,2025.12.02 22:00:00,sl 25633.32,239.7
2025-12-09 15:05:00,2025.12.09 17:02:39,486,US100.cash,short,0.52,25623.95,25627.16,25627.02,25422.64,3.07,close,-1.67,0.0,0.0,-1.67,-1.045,7,1.5,bull,sl,P2_B|SHORT|S=7|ATR=101.21500|REG=bull|CONF=1.5,1.0,0.5,25619.95,2025.12.02 22:00:00,sl 25627.02,117.7
2025-12-09 15:35:00,2025.12.09 17:02:39,487,US100.cash,short,0.35,25588.95,25627.16,25627.02,25387.44,38.07,close,-13.37,0.0,0.0,-13.37,-1.004,8,1.0,bull,sl,P2_B|SHORT|S=8|ATR=101.21500|REG=bull|CONF=1.0,1.0,0.5,25619.95,2025.12.02 22:00:00,sl 25627.02,87.7
2025-12-09 16:40:00,2025.12.09 18:01:30,488,US100.cash,short,0.41,25606.35,25660.16,25660.16,25400.1,53.81,stop,-22.06,0.0,0.0,-22.06,-1.0,5,1.0,bull,sl,P2_B|SHORT|S=5|ATR=103.64357|REG=bull|CONF=1.0,1.2,0.5,25619.95,2025.12.02 22:00:00,sl 25660.16,81.5
