DIAG|2025-12-01 08:00|M5|C=25187.75|E20=25181.90|E50=25209.32|RSI=50.30|H4|E20=25188.37|E50=25034.15|RSI=54.49|ATR=102.8020|M15ATR=27.2735|Zones=8
DIAG|2025-12-01 08:20|M5|C=25208.15|E20=25188.52|E50=25208.18|RSI=59.55|H4|E20=25192.36|E50=25041.85|RSI=56.04|ATR=103.7617|M15ATR=26.4637|Zones=9
DIAG|2025-12-01 08:40|M5|C=25218.05|E20=25196.03|E50=25208.60|RSI=62.85|H4|E20=25192.36|E50=25041.85|RSI=56.04|ATR=103.7617|M15ATR=25.7886|Zones=9
DIAG|2025-12-01 15:10|M5|C=25199.25|E20=25205.14|E50=25224.02|RSI=43.91|H4|E20=25194.55|E50=25048.65|RSI=55.00|ATR=106.2202|M15ATR=31.6268|Zones=10
DIAG|2025-12-01 15:15|M5|C=25202.85|E20=25204.93|E50=25223.19|RSI=45.76|H4|E20=25194.55|E50=25048.65|RSI=55.00|ATR=106.2202|M15ATR=30.5032|Zones=10
DIAG|2025-12-01 15:20|M5|C=25200.45|E20=25204.50|E50=25222.30|RSI=44.70|H4|E20=25194.55|E50=25048.65|RSI=55.00|ATR=106.2202|M15ATR=30.5032|Zones=10
DIAG|2025-12-01 15:25|M5|C=25195.25|E20=25203.62|E50=25221.24|RSI=42.41|H4|E20=25194.55|E50=25048.65|RSI=55.00|ATR=106.2202|M15ATR=30.5032|Zones=10
DIAG|2025-12-01 15:30|M5|C=25194.75|E20=25202.77|E50=25220.20|RSI=42.19|H4|E20=25194.55|E50=25048.65|RSI=55.00|ATR=106.2202|M15ATR=30.0895|Zones=10
DIAG|2025-12-01 15:35|M5|C=25193.75|E20=25201.91|E50=25219.16|RSI=41.72|H4|E20=25194.55|E50=25048.65|RSI=55.00|ATR=106.2202|M15ATR=30.0895|Zones=10
DIAG|2025-12-01 15:40|M5|C=25204.25|E20=25202.14|E50=25218.58|RSI=48.28|H4|E20=25194.55|E50=25048.65|RSI=55.00|ATR=106.2202|M15ATR=30.0895|Zones=10
DIAG|2025-12-02 08:00|M5|C=25316.85|E20=25325.33|E50=25336.14|RSI=40.15|H4|E20=25248.00|E50=25094.43|RSI=58.10|ATR=117.3239|M15ATR=20.1683|Zones=12
DIAG|2025-12-02 08:05|M5|C=25309.35|E20=25323.81|E50=25335.09|RSI=35.60|H4|E20=25261.69|E50=25106.09|RSI=61.45|ATR=118.4807|M15ATR=20.1683|Zones=12
