<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.05	01:00:00	25599.16	25600.26	25566.66	25580.56	4252	0	148
2025.12.05	02:00:00	25579.16	25614.65	25569.55	25612.45	8123	0	140
2025.12.05	03:00:00	25612.95	25641.75	25611.65	25639.75	7455	0	130
2025.12.05	04:00:00	25639.85	25670.75	25637.45	25647.25	5213	0	130
2025.12.05	05:00:00	25646.95	25664.85	25641.25	25658.75	4588	0	130
2025.12.05	06:00:00	25658.25	25675.15	25655.65	25670.25	4535	0	130
2025.12.05	07:00:00	25670.15	25682.05	25665.95	25681.55	3890	0	130
2025.12.05	08:00:00	25681.25	25688.25	25661.95	25670.75	4275	0	130
2025.12.05	09:00:00	25670.55	25687.05	25664.05	25683.15	4125	0	130
2025.12.05	10:00:00	25683.75	25712.85	25679.55	25682.85	8256	0	140
2025.12.05	11:00:00	25682.15	25693.85	25664.35	25676.15	6636	0	130
2025.12.05	12:00:00	25675.85	25690.35	25670.45	25674.45	4593	0	130
2025.12.05	13:00:00	25674.25	25684.85	25662.75	25677.25	5125	0	130
2025.12.05	14:00:00	25677.15	25690.65	25647.15	25661.15	7391	0	140
2025.12.05	15:00:00	25660.95	25667.85	25538.25	25571.75	10944	0	140
2025.12.05	16:00:00	25572.05	25761.35	25569.55	25748.26	21553	0	60
2025.12.05	17:00:00	25748.16	25825.95	25674.95	25700.65	25494	0	60
2025.12.05	18:00:00	25700.85	25724.85	25609.65	25687.95	27232	0	60
2025.12.05	19:00:00	25688.15	25699.35	25623.55	25689.15	22082	0	60
2025.12.05	20:00:00	25688.65	25719.05	25660.75	25687.85	16643	0	60
2025.12.05	21:00:00	25687.95	25705.05	25664.25	25699.05	15869	0	60
2025.12.05	22:00:00	25698.75	25701.75	25639.05	25687.45	16557	0	60
2025.12.05	23:00:00	25687.55	25704.46	25684.56	25697.86	4377	0	100
