<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.05	01:05:00	25599.16	25600.26	25592.26	25592.26	35	0	178
2025.12.05	01:06:00	25591.36	25595.46	25590.46	25594.36	101	0	178
2025.12.05	01:07:00	25594.26	25594.66	25592.46	25592.76	76	0	168
2025.12.05	01:08:00	25592.46	25592.96	25590.46	25591.46	93	0	168
2025.12.05	01:09:00	25590.96	25591.16	25587.46	25589.26	108	0	168
2025.12.05	01:10:00	25589.46	25593.26	25587.06	25592.46	122	0	158
2025.12.05	01:11:00	25592.46	25594.06	25590.76	25593.06	74	0	158
2025.12.05	01:12:00	25592.86	25593.56	25591.46	25591.76	73	0	158
2025.12.05	01:13:00	25591.86	25591.86	25582.56	25582.76	141	0	158
2025.12.05	01:14:00	25583.16	25587.76	25582.26	25585.86	116	0	168
2025.12.05	01:15:00	25585.76	25588.66	25584.16	25588.66	74	0	178
2025.12.05	01:16:00	25588.46	25589.36	25586.16	25588.66	80	0	178
2025.12.05	01:17:00	25587.86	25588.36	25585.76	25585.86	59	0	178
2025.12.05	01:18:00	25585.76	25588.16	25585.16	25586.96	57	0	168
2025.12.05	01:19:00	25586.76	25589.66	25586.76	25589.36	48	0	158
2025.12.05	01:20:00	25588.96	25590.26	25588.46	25590.16	20	0	158
2025.12.05	01:21:00	25590.06	25590.06	25586.86	25589.16	58	0	158
2025.12.05	01:22:00	25588.86	25593.16	25588.86	25591.86	57	0	158
2025.12.05	01:23:00	25592.16	25592.16	25586.36	25588.56	73	0	158
2025.12.05	01:24:00	25588.66	25589.16	25586.86	25588.16	56	0	158
2025.12.05	01:25:00	25588.06	25590.36	25587.66	25588.76	50	0	158
2025.12.05	01:26:00	25589.06	25591.56	25588.56	25591.26	68	0	158
2025.12.05	01:27:00	25591.36	25593.06	25589.06	25589.16	70	0	148
2025.12.05	01:28:00	25589.26	25590.26	25588.16	25589.76	44	0	158
2025.12.05	01:29:00	25589.66	25591.66	25589.66	25590.36	36	0	158
2025.12.05	01:30:00	25591.26	25592.26	25589.56	25591.56	65	0	158
2025.12.05	01:31:00	25591.36	25591.56	25589.26	25590.56	45	0	158
